reference,prediction
Why/how do electrons have enough charge to negate the effects of protons?,What happens to the balance between electrons' and protons' charges in an atom when their masses are significantly different?
Is allosteric inhibitor non-competitive or competitive?,What type of binding site would an allosteric inhibitor occupy that distinguishes it from non-competitive inhibition?
Why does body make more lactose?,What would be the consequence on lactose metabolism if the lac operon was not present in bacteria?
Then why does entropy not mean messy?,What happens to the concept of entropy when considering systems in equilibrium between two states?
How do viruses and bacteria get into a cell and corrupt them?,How do enveloped viruses manage to get through their own membrane similar to that of the host cell?
Does allopatric speciation make subgroups or subspecies?,"Can a subspecies remain part of the same species even after thousands of years of separation due to geographical events, and if so, under what circumstances can this result in distinct differences between the populations?"
Is reaction that oxygen reacts with carbon to create CO2 anabolic or catabolic?,What aspect of molecular structure or bonding explains why oxygen (O2) has greater oxidative power than carbon dioxide (CO2)?
Does gel electrophoresis work?,Why using multiple copies of DNA is advantageous for Gel electrophoresis analysis?
Does that mean that ribosomes are actually in between the two phospholipid bilayers of the nuclear envelope?,Why are ribosomes attached to the outer surface of the membrane rather than being inserted into it?
Don't both have hydrogen bonding?,Why do linear molecules like propan-1-ol exhibit higher London dispersion forces compared to branched molecules like propan-2-ol?
What does surface area have to do with how much energy it takes for these transfers to occur?,What are the implications for the rate of diffusion within a cell when its surface area to volume ratio (SA:V) decreases as it grows larger?
"How can cadmium, an element that is somewhere around the middle of the periodic table, have an oxidation state of +2?",What would be the implication on an atom's stability if Cadmium were to lose all 2 electrons in its valence shell?
How would oxygen share the electrons with the two hydrogens?,What effect does the slight charge on hydrogen atoms versus the oxygen atom in a water molecule have on its overall structure?
"Why not just losing a Hydrogen on the ring itself, as it can be resonance stabilized in the exact same way?",What are the implications for the energy required to remove a hydrogen from either the benzylic position or the ring in an aromatic compound?
How come an increase in temperature increases this combination of states?,What is the condition under which the entropy of a gas increases as its temperature increases?
Could anything react with anything?,"What are the ""right conditions"" for two substances to react spontaneously without any outside help?"
Why does flagella is not an organelle?,What additional functions beyond locomotion and excretion are attributed to flagella in prokaryotic bacteria?
Why assuming that if two electrons are in the same orbital they will be next to each other?,What implications does the fact that electrons occupy their entire orbital have for understanding their wave-like behavior in terms of positions on an axis?
Does the molecule still remains chiral?,What type of molecule would be considered chiral under this specific definition?
How to determine the oxidation state of oxygen?,What are the specific circumstances under which the oxidation state rules do not provide significant help in determining the oxidation states of certain chemicals?
Will it work until all reactants are turned into products?,"What conditions would allow a reaction to go to completion with a catalyst present, while not altering the position of equilibrium in its presence?"
Where does evolution occur in nature?,"What is the primary mechanism by which natural selection drives evolution in a population, and how do environmental conditions and competition for resources contribute to this process?"
Do the atoms share the electrons (and therefore form a bond)?,What type of bond requires a complete transfer of electrons between two atoms due to their extreme difference in electronegativity?
How the germ cell can go through mitosis?,What role do somatic cells play in relation to the migration and expansion of germ cells before some of them form sex cells?
Does the Cl conjugate base hang out by itself?,What is the specific interaction between water molecules and the Cl- ion that prevents them from bonding with chloride ions as they do with hydrogen ions?
What makes the carbon dioxide go into the alveoli and the oxygen go into the capillary?,What happens to the CO2 in the blood when its partial pressure is lower than that of the alveoli?
Is neutron only the proton which gets kicked out?,Under what conditions do high neutron count isotopes typically undergo neutron emission?
Someone pl meiosis and mitosis with respect to X chromosome?,What would happen to the function of sex chromosomes during meiosis if crossing over occurs in the pseudoautosomal region?
What is that extra H+ doing there on the head of water?,What are the consequences for the water molecule (and therefore also the glycosidic bond in sugar molecules) when it is formed through condensation reactions involving OH groups and H+ ions?
"Do cells 'hunt' for bacterium, or it's an occasion?",What role do cytokines play in attracting immune cells to bacteria when an infection occurs?
Could diatomic hydrogen also be formed by an ionic bond?,Under what condition(s) is an ionic H-H bond impossible due to the equal electronegativity of the two hydrogen atoms?
Why does a positive kJ result end up with energy leaving a system?,At what energy level do atoms bond to release energy (thetaHf < 0) versus when energy is required for bonding (thetaHf > 0)?
How can the oxygen being oxidised?,Under what circumstances would oxygen be considered oxidized based on its typical oxidation number?
Would the entire ecosystem collapse?,What determines the likelihood of an ecosystem collapse in relation to the importance of the species involved?
Why the HIV virus is coming out of the immune cell?,"When do HIV viruses target cells specifically, given that they typically force cells to produce new viruses until they burst?"
"Human evolve from apes, so if one mated with a human?","What would be the nature of an ape-human hybrid if it were genetically possible to mate humans with apes, considering that such a hybrid wouldn't resemble their common ancestor?"
Why doesn't carbon form any ionic bond?,"Why would carbon molecules prefer to share their valence electrons through single, double, and triple bonds instead of gaining or losing 4 electrons to form ionic bonds?"
"Didn't the H+ get randomly picked up by the OH and then later the OH group attached to Carbon gave up its hydrogen to H2O, making it H3O+?",What would happen to the pH of the solution if the attraction between the OH ion from another sucrose molecule and the hydronium ion causes the solution to become even more acidic?
Does the Calvin cycle happen after the light-dependent reactions occurs or is the Calvin cycle independent?,What mechanism allows the energy obtained by light-dependent reactions to be reused within the Calvin cycle?
How do the contracting and expanding muscles gets oxygen?,What mechanism enables the heart to dispose of waste while also pumping blood throughout the body?
Does the body extract the oxygen from the carbon dioxide?,What would be the consequence if there were no oxygen in the air we breathe?
Does the oxygen bonded with another oxygen don't count as another oxidation state?,What happens to an atom's oxidation state when an element is bonded to another atom of itself?
Why are hydrogen bonds called weak bonds?,What is the implication of hydrogen's small diameter on the nature of its attraction to electronegative atoms in molecules?
Doesn't that violate Markovnikov's rule that the more substituted C will bond with the more substituted reactant?,What type of reagent additions violate Markovnikov's rule according to the given statement?
How would oxygen share the electrons with the two hydrogens?,What would happen if the hydrogen atoms were not sharing their electrons with the oxygen atom in the compound?
"Does the electron go into an energy level 1/100000 higher, or where does the extra energy go?",What happens to the absorption of photons by atoms or molecules when the uncertainty in the time (lifetime of the excited state) is infinite according to the Heisenberg Uncertainty Principle?
Why would osmosis be a form of Passive Transport?,Why would water move from areas of high concentration to areas of low concentration in osmosis?
How is water supposed to evaporate at 25 degrees Celsius?,What happens to the general energy of molecules when temperature increases?
Whats causes a molecule to have potential energy?,Under what conditions does potential energy come from interaction with charge?
"Why does a paperclip that is able to sink below the surface, go down to the bottom?","Why does the paper clip sink once underneath the surface of the water, despite the bottom of the water being barely less dense than the surface?"
Does anaerobic respiration contribute to metabolic rate?,What types of extensive and intensive metabolic activities are oxygen consumption is directly correlated with in animals?
How would people know if it is redox or a regular one?,When do people assume a reaction is a redox reaction if charges don't balance on the chemical equation?
Does the co-repressor unbind itself from the repressor?,What would be the effect on tryptophan repressor molecules if all tryptophan were suddenly removed from the e.coli cells?
Is it possible for the inhibitor to later separate or unbind?,When will an irreversible inhibition lead to non-competitive inhibition?
How the exact length of DNA molecules can be determined when it is moving?,What is the principle behind the stopping point in gel electrophoresis being used to distinguish DNA segments by size?
Is a non spontaneous reaction always a reverse reaction?,What would happen to the spontaneity of a reaction if the Gibbs free energy change (dG0) for its backward direction became zero?
How carbohydrates fit into the fluid mosaic molecule and what do they look like?,"What are the specific functions that carbohydrates play when attached to proteins and lipids, in relation to their role in cell adhesion?"
What happens to the water at the bottom of the container?,"What are the underlying forces at play in water molecules when they compact on themselves, and how do these forces influence the behavior of objects like paper clips within the water?"
What stop the salt bridge from itself building up charge?,What directions allows ions to flow freely in a salt bridge?
Do the proteins have a chance of going into the cell?,What is the primary mechanism by which transmembrane proteins are retained within the cell membrane?
How does the rock effect the community?,"How do rocks, which are fundamental components in shaping landforms, relate to the themes of impermanence and mortality explored in rock music?"
"Does that mean that oxygen is the oxidation agent, and hydrogen would be the reduction agent?","What is typically required for one thing to be considered an oxidising agent in a reaction, according to the definition provided?"
Don't they also have to travel through the same capillaries?,Why would leukocytes need to escape through capillary walls if their role is to activate the immune system and perform phagocytosis?
How to identify nucleophiles or electrophiles?,What circumstances cause the electronegative atom bonded to a less electronegative one to have a partial positive charge?
