reference,prediction
Why/how do electrons have enough charge to negate the effects of protons?,Why are protons the electrons the same way?
Is allosteric inhibitor non-competitive or competitive?,Is allosteric still non-competitive as the substrate is located on the active site?
Why does body make more lactose?,Is there any lactose in the system?
Then why does entropy not mean messy?,What about entropy?
How do viruses and bacteria get into a cell and corrupt them?,How is a virus infecting a cell?
Does allopatric speciation make subgroups or subspecies?,What is a subspecies that are in the species?
Is reaction that oxygen reacts with carbon to create CO2 anabolic or catabolic?,What is the level of elemental oxygen that forms carbon dioxide?
Does gel electrophoresis work?,What is the purpose of Gel electrophoresis?
Does that mean that ribosomes are actually in between the two phospholipid bilayers of the nuclear envelope?,Is ribosome reversibly attached to the outer surface of the membrane?
Don't both have hydrogen bonding?,What is the difference between Hydrogen and Hydrogen bond?
What does surface area have to do with how much energy it takes for these transfers to occur?,Is the surface area the only cell that has a higher SA:V?
"How can cadmium, an element that is somewhere around the middle of the periodic table, have an oxidation state of +2?",Is Cadmium equivalent to the amount of electrons in its valence shell?
How would oxygen share the electrons with the two hydrogens?,Why don't the Oxygen have a slight + charge?
"Why not just losing a Hydrogen on the ring itself, as it can be resonance stabilized in the exact same way?",Why use a benzylic hydrogen?
How come an increase in temperature increases this combination of states?,Why is the entropy of a macrosystem proportional to the number of molecules in the system?
Could anything react with anything?,What is a chemical reaction done?
Why does flagella is not an organelle?,Is Flagella an organ that functions as a sensory organ?
Why assuming that if two electrons are in the same orbital they will be next to each other?,Why use electrons as both particles and waves?
Does the molecule still remains chiral?,Is it an enantiomer or molecule?
How to determine the oxidation state of oxygen?,Is it an oxidation state or something else?
Will it work until all reactants are turned into products?,Is it because of the rate of catalyzation?
Where does evolution occur in nature?,Why does evolution happen?
Do the atoms share the electrons (and therefore form a bond)?,Is the ionic bond the only one gaining electron or non-changing electrons?
How the germ cell can go through mitosis?,Is there any difference between the germ cells and mitosis?
Does the Cl conjugate base hang out by itself?,What's the point of the chloride?
What makes the carbon dioxide go into the alveoli and the oxygen go into the capillary?,What is the carbon dioxide in the blood?
Is neutron only the proton which gets kicked out?,If a neutron can't escape the nucleus?
Someone pl meiosis and mitosis with respect to X chromosome?,Is meosis not just a sex but also XX or XY?
What is that extra H+ doing there on the head of water?,What is the difference between hydrogen and OH?
"Do cells 'hunt' for bacterium, or it's an occasion?",How do bacteria come in?
Could diatomic hydrogen also be formed by an ionic bond?,Is it possible for ionic bonding to occur?
Why does a positive kJ result end up with energy leaving a system?,"If energy is needed for the atoms to bond, what would happen?"
How can the oxygen being oxidised?,What happens to the oxidation of Oxygen?
Would the entire ecosystem collapse?,Is there any way of restoring an ecosystem collapsed?
Why the HIV virus is coming out of the immune cell?,What happens to the HIV virus?
"Human evolve from apes, so if one mated with a human?",Is there a common ancestor between humans and apes?
Why doesn't carbon form any ionic bond?,Why do carbon molecules form ionic bonds?
"Didn't the H+ get randomly picked up by the OH and then later the OH group attached to Carbon gave up its hydrogen to H2O, making it H3O+?",Would hydronium ions exist in water?
Does the Calvin cycle happen after the light-dependent reactions occurs or is the Calvin cycle independent?,How is the Calvin cycle dependent on the Light-dependent reactions?
How do the contracting and expanding muscles gets oxygen?,How does the body receive the oxygen and the nutrients it needs?
Does the body extract the oxygen from the carbon dioxide?,There is much more oxygen than there is carbondioxide.
Does the oxygen bonded with another oxygen don't count as another oxidation state?,What bond does an Oxygen makes to another H?
Why are hydrogen bonds called weak bonds?,Does the hydrogen bond take very little energy?
Doesn't that violate Markovnikov's rule that the more substituted C will bond with the more substituted reactant?,Is the reagent always adding to the carbon bearing more hydrogen atoms?
How would oxygen share the electrons with the two hydrogens?,Why don't the Oxygen get together?
"Does the electron go into an energy level 1/100000 higher, or where does the extra energy go?",Is the amount of electrons in a photon that isn't exactly equal?
Why would osmosis be a form of Passive Transport?,Isosmosis a form of passive transport?
How is water supposed to evaporate at 25 degrees Celsius?,What is the difference between the temperature and pressure?
Whats causes a molecule to have potential energy?,Is there any potential energy coming from interaction with a gas molecule?
"Why does a paperclip that is able to sink below the surface, go down to the bottom?",Why the water at the bottom of the paper clip is less dense?
Does anaerobic respiration contribute to metabolic rate?,How is it that anaerobic respiration happens?
How would people know if it is redox or a regular one?,Is it redox or redox?
Does the co-repressor unbind itself from the repressor?,What is the potential for a repressor?
Is it possible for the inhibitor to later separate or unbind?,Is an enzyme inhibitor not reversible?
How the exact length of DNA molecules can be determined when it is moving?,How to distinguish the size of a molecule?
Is a non spontaneous reaction always a reverse reaction?,If dG0 reaction is spontaneous in the opposite direction?
How carbohydrates fit into the fluid mosaic molecule and what do they look like?,Are carbohydrates like the glycocalyx and other functions?
What happens to the water at the bottom of the container?,How does the surface of the water become dense?
What stop the salt bridge from itself building up charge?,How can the ions go to the salt bridge?
Do the proteins have a chance of going into the cell?,How can transmembrane proteins be kept in the membrane?
How does the rock effect the community?,Is it possible for rock to be used by animals?
"Does that mean that oxygen is the oxidation agent, and hydrogen would be the reduction agent?",Why is something being oxidised?
Don't they also have to travel through the same capillaries?,Why is there a capillary in the body?
How to identify nucleophiles or electrophiles?,Why are electrons on some atoms an electrophile?
Are the anode rays only nuclei?,Are they actually anode rays or anode?
Don't a voltage source and a current source both supply a current and voltage in a circuit?,What is the difference between voltage and current?
How do ketones have a stronger dipole moment than aldehydes?,Why does the electron atom gain electrons from the carbon instead of aldehyde?
"How does oxygen get dissolved in water,which supports marine life?",How can oxygen and water retain molecular form?
How plants respond to nature?,How do plants use fungus in the soil?
Why is habituation considered as a learned behavior?,Is it inborn for ducks to learn from their mother?
What happen if the repressor stops functioning?,Is the tryptophan repressor itself a protein?
Why is it that animal-based foods are more energy dense than the plants we eat?,Why does energy density tend to increase?
"How does the hydrogen bond in it conform to their definition of van dear Waals forces, which don't involve covalent bonds?",Why do hydrogen bonds come together to form a van der Waals force?
Will electrons always start with same number of protons?,If the charge is equal to the charge of a protons?
And why do we need Plasmid?,Why do we need plasmid?
How does caring if it`s a polar or non-polar covalent bond help us?,Is it possible for a solvent to dissolve in eachother?
Is the bacterias native plasmid kicked out or do they become neighbors?,Are plasmids in the host so small they can absorb very little of the DNA of the host?
Would we divide the electrons equally between same atoms?,If both electrons have been given to each atom to the electrons that have been given to each atom?
Why do the voltages have to add to zero when we end up back at the same voltage?,Is it because of the Voltage Law?
What force brings these two elements together?,What happens to another chemical element?
Does the fly still develop halteres that help it to balance?,Are halteres unable to balance?
Could people get rich changing a lead atom into a gold or silver atom and then selling it for money?,Is it possible to convert atoms into Gold?
What is the reason for the formation of polyatomic ions?,Why is a polyatomic ion a total charge?
"Human evolve from apes, so if one mated with a human?",Can humans mate with ape?
Why does the Hydrogen choose to bond with another hydrogen in the final step instead of to sodium?,Why didn't the sodium give up the electron to hydrogen?
How to compare the electronegativity?,Why does the electronegativity increase?
Would diffusion take place at all?,Why does the velocity of a Diffusion stop?
Do plants respond to night light with no heat?,How do plants use fungus in the soil?
Can't we just reuse the already existing energy? Why can't you turn heat into energy?,Why use heat as an energy source?
How do you tell acidic salt and a normal salt apart?,How does a weak acid produce a basic salt?
How is acetyl chloride formed?,Where does the acetyl chloride come in?
How to know it is not there without fulfilling the octet rule?,What happens to the octet rule?
Why does Bohr model work?,Does the Bohr model work for hydrogen?
Why pH 7 is chosen as neutral?,What is the meaning of pH?
How do the birds survive while trees release carbon dioxide during the night?,Would birds not sleep as long as we humans?
"Why would an electron fall back to any energy level other than the n=1, since there are no other electrons stopping it from falling there?",What happens to an electron in the n=1 state?
How does the atom bomb fall into that every element is made up of unique atoms?,How is the atom bomb so powerful and fearful?
Why oxygen atoms in the molecular formula of water has 4 more atoms that can be used for other bonds?,Is the Oxygen being shared with each other?
"Weaker the acid, stronger the conjugate base?",Wouldn't a strong acid always have a weak conjugate base?
Why cant oxygen atom do this inspite o is more electronegative than c and h?,Is it because the electrons are more electronegative?
Do  isotopes ever lose the extra neutron(s) or gain new ones?,Isotope a nucleus isotope?
Why are the elements in group 2 not stable with 2 valence electrons?,Why does the octet rule not apply to certain elements?
Does size have any impact on the size of the plasmid that needs to be used?,What is a plasmid that is more than 20 kb?
How is resonance decreasing reactivity?,Why does resonance decrease the molecule's reactivity?
Why the oxygen acquires a positive charge when it bounds to a hydrogen?,Why is the hydrogen atom just the same?
"Are endocytosis and exocytosis forms of bulk transport, or are they active transport?",Are they classified as active transport?
Does Methionine go to E-site(exit) or does it remove after the polypeptides are formed?,What happens to the methionine aminopeptides next to N?
How does Ruminococcus get in the cow's gut to begin with?,Does the Ruminococcus is in the cow's food?
Why do blood go to the heart if they need oxygen?,How does the blood get pumped?
