reference,prediction
Why/how do electrons have enough charge to negate the effects of protons?,Why do protons balance electron charge in equal quantities?
Is allosteric inhibitor non-competitive or competitive?,How does allosteric binding inhibit without active site competition?
Why does body make more lactose?,How does lactose presence trigger the lac operon's enzyme production?
Then why does entropy not mean messy?,How does entropy relate to a system's possible states?
How do viruses and bacteria get into a cell and corrupt them?,How do enveloped viruses bypass the host cell membrane?
Does allopatric speciation make subgroups or subspecies?,How does geographic separation lead to subspecies formation?
Is reaction that oxygen reacts with carbon to create CO2 anabolic or catabolic?,Why does O2 have greater oxidative power than CO2?
Does gel electrophoresis work?,Why is PCR needed to prepare DNA for gel electrophoresis?
Does that mean that ribosomes are actually in between the two phospholipid bilayers of the nuclear envelope?,How does the signal sequence ensure ER docking specificity?
Don't both have hydrogen bonding?,How does hydrogen bonding influence propan-1-ol and propan-2-ol?
What does surface area have to do with how much energy it takes for these transfers to occur?,How does surface area to volume ratio affect nutrient diffusion?
"How can cadmium, an element that is somewhere around the middle of the periodic table, have an oxidation state of +2?",Why does Cadmium's group number relate to valence electrons?
How would oxygen share the electrons with the two hydrogens?,Why does oxygen develop a slight negative charge?
"Why not just losing a Hydrogen on the ring itself, as it can be resonance stabilized in the exact same way?",Why is benzylic hydrogen removal energetically favored?
How come an increase in temperature increases this combination of states?,How does temperature increase the number of accessible micro-states?
Could anything react with anything?,Why are specific conditions crucial for spontaneous reactions to occur?
Why does flagella is not an organelle?,How does flagella's multiple functions enhance bacterial survival?
Why assuming that if two electrons are in the same orbital they will be next to each other?,How do wave properties negate electron position relative to an axis?
Does the molecule still remains chiral?,Why are some molecules superimposable on their mirror images?
How to determine the oxidation state of oxygen?,Why are oxidation state rules helpful despite their limitations?
Will it work until all reactants are turned into products?,"Why isn't a catalyst a reagent, given its role in reactions?"
Where does evolution occur in nature?,How does natural selection drive evolutionary change?
Do the atoms share the electrons (and therefore form a bond)?,Why does electronegativity difference dictate bond type?
How the germ cell can go through mitosis?,Why is mitosis necessary for germ cell development?
Does the Cl conjugate base hang out by itself?,Why doesn't Cl- bond with water like H+ does?
What makes the carbon dioxide go into the alveoli and the oxygen go into the capillary?,Why does blood PCO2 exceed alveolar PCO2?
Is neutron only the proton which gets kicked out?,Why does neutron emission occur more in high neutron isotopes?
Someone pl meiosis and mitosis with respect to X chromosome?,"Why does meiosis in males produce X and Y gametes, not XY?"
What is that extra H+ doing there on the head of water?,How does H+ influence glycosidic bond formation during condensation?
"Do cells 'hunt' for bacterium, or it's an occasion?",How do bacteria attract immune cells without sensory organs?
Could diatomic hydrogen also be formed by an ionic bond?,Why is ionic bonding impossible between identical hydrogen atoms?
Why does a positive kJ result end up with energy leaving a system?,Why does positive ΔHf indicate energy *requirement* for bonding?
How can the oxygen being oxidised?,Why does oxygen's oxidation number increase during oxidation?
Would the entire ecosystem collapse?,Why is ecosystem recovery so difficult after collapse?
Why the HIV virus is coming out of the immune cell?,Why does HIV specifically target immune cells for hijacking?
"Human evolve from apes, so if one mated with a human?",Why would a human-ape hybrid differ from the common ancestor?
Why doesn't carbon form any ionic bond?,Why is forming ionic bonds unfavorable for carbon?
"Didn't the H+ get randomly picked up by the OH and then later the OH group attached to Carbon gave up its hydrogen to H2O, making it H3O+?",Why does hydronium neutralize with hydroxide in the paragraph?
Does the Calvin cycle happen after the light-dependent reactions occurs or is the Calvin cycle independent?,How does the Calvin cycle's dependence on light reactions create a cycle?
How do the contracting and expanding muscles gets oxygen?,How does the heart's function ensure oxygen delivery?
Does the body extract the oxygen from the carbon dioxide?,Why is there more oxygen than carbon dioxide in air?
Does the oxygen bonded with another oxygen don't count as another oxidation state?,Why does oxygen's oxidation state change in hydrogen peroxide?
Why are hydrogen bonds called weak bonds?,Why does hydrogen's size/electronegativity cause weak bonds?
Doesn't that violate Markovnikov's rule that the more substituted C will bond with the more substituted reactant?,Why does Markovnikov's rule relate to reagent polarity and alkene symmetry?
How would oxygen share the electrons with the two hydrogens?,Why does oxygen develop a slight negative charge?
"Does the electron go into an energy level 1/100000 higher, or where does the extra energy go?","How do collisions perturb electron motion, causing pressure broadening?"
