reference,prediction
Why/how do electrons have enough charge to negate the effects of protons?,Why do protons' charges balance electrons' charges in atoms?
Is allosteric inhibitor non-competitive or competitive?,How does allosteric binding cause non-competitive inhibition?
Why does body make more lactose?,How does lactose presence trigger lac operon enzyme production?
Then why does entropy not mean messy?,"How does ""sum of states"" relate to the concept of disorder?"
How do viruses and bacteria get into a cell and corrupt them?,How do enveloped viruses bypass the cell membrane?
Does allopatric speciation make subgroups or subspecies?,How does geographic separation lead to subspecies formation?
Is reaction that oxygen reacts with carbon to create CO2 anabolic or catabolic?,Why does O2 have greater oxidative power than CO2?
Does gel electrophoresis work?,Why is PCR amplification necessary for visualizing DNA during gel electrophoresis?
Does that mean that ribosomes are actually in between the two phospholipid bilayers of the nuclear envelope?,Why are ribosomes only reversibly attached to the ER membrane?
Don't both have hydrogen bonding?,How does propan-1-ol's structure enhance hydrogen bonding?
What does surface area have to do with how much energy it takes for these transfers to occur?,How does surface area limit nutrient diffusion in larger cells?
"How can cadmium, an element that is somewhere around the middle of the periodic table, have an oxidation state of +2?",Why does Cadmium's valence shell influence its oxidation state?
How would oxygen share the electrons with the two hydrogens?,Why does oxygen develop a slight negative charge?
"Why not just losing a Hydrogen on the ring itself, as it can be resonance stabilized in the exact same way?",Why does removing ring hydrogen require more energy?
How come an increase in temperature increases this combination of states?,Why does temperature increase increase micro-states in a gas?
Could anything react with anything?,Why do spontaneous reactions require specific conditions to occur?
Why does flagella is not an organelle?,How does flagella's multiple functions enhance bacterial survival?
Why assuming that if two electrons are in the same orbital they will be next to each other?,How do wave properties preclude electrons being on opposite sides?
Does the molecule still remains chiral?,Why are some molecules achiral despite having mirror images?
How to determine the oxidation state of oxygen?,Why are oxidation state rules helpful despite their limitations?
Will it work until all reactants are turned into products?,"How does a catalyst, as a reagent, affect equilibrium?"
Where does evolution occur in nature?,How does natural selection drive evolutionary change?
Do the atoms share the electrons (and therefore form a bond)?,Why does electronegativity difference determine bond type?
How the germ cell can go through mitosis?,Why is mitosis important for germ cell development?
Does the Cl conjugate base hang out by itself?,Why doesn't Cl- bond with water like H+ does?
What makes the carbon dioxide go into the alveoli and the oxygen go into the capillary?,Why does blood PCO2 exceed alveolar PCO2?
Is neutron only the proton which gets kicked out?,Why does neutron emission occur in high neutron count isotopes?
Someone pl meiosis and mitosis with respect to X chromosome?,Why is crossing over limited in sex chromosomes during meiosis?
What is that extra H+ doing there on the head of water?,How does H+ mediate glycosidic bond formation during condensation?
"Do cells 'hunt' for bacterium, or it's an occasion?",How do bacteria attract immune cells without sensory organs?
Could diatomic hydrogen also be formed by an ionic bond?,Why is ionic bonding impossible between identical hydrogen atoms?
Why does a positive kJ result end up with energy leaving a system?,Why does positive ΔHf indicate energy *required* for bonding?
How can the oxygen being oxidised?,Why must oxygen lose electrons to satisfy the octet rule?
Would the entire ecosystem collapse?,Why is ecosystem collapse so difficult to reverse?
Why the HIV virus is coming out of the immune cell?,Why does HIV's targeting of immune cells prove detrimental?
"Human evolve from apes, so if one mated with a human?",How did ape populations diversify from a common ancestor?
Why doesn't carbon form any ionic bond?,Why is forming ionic bonds unfavorable for carbon?
"Didn't the H+ get randomly picked up by the OH and then later the OH group attached to Carbon gave up its hydrogen to H2O, making it H3O+?",Why does hydronium neutralization restore neutrality in the described scenario?
Does the Calvin cycle happen after the light-dependent reactions occurs or is the Calvin cycle independent?,How does the Calvin cycle re-energize molecules for light-dependent reactions?
How do the contracting and expanding muscles gets oxygen?,How does the heart's function ensure oxygen delivery to cells?
Does the body extract the oxygen from the carbon dioxide?,Why is there more oxygen than carbon dioxide in air?
Does the oxygen bonded with another oxygen don't count as another oxidation state?,Why doesn't oxygen bonding to itself affect its oxidation state?
Why are hydrogen bonds called weak bonds?,Why does hydrogen's size/electronegativity cause weak bonds?
Doesn't that violate Markovnikov's rule that the more substituted C will bond with the more substituted reactant?,Why does Markovnikov's rule prioritize hydrogen count over other factors?
How would oxygen share the electrons with the two hydrogens?,Why does oxygen have a slight negative charge?
"Does the electron go into an energy level 1/100000 higher, or where does the extra energy go?","How do collisions perturb electron motion, causing pressure broadening?"
Why would osmosis be a form of Passive Transport?,Why is osmosis considered passive transport despite water movement?
How is water supposed to evaporate at 25 degrees Celsius?,Why does increasing temperature increase molecular energy?
Whats causes a molecule to have potential energy?,Why does negligible gravity eliminate a gas molecule's potential energy?
"Why does a paperclip that is able to sink below the surface, go down to the bottom?",Why does surface tension's density difference not float the clip?
Does anaerobic respiration contribute to metabolic rate?,How does anaerobic respiration contribute to prolonged metabolic effects?
How would people know if it is redox or a regular one?,Why must unbalanced charges indicate a redox reaction?
Does the co-repressor unbind itself from the repressor?,How does tryptophan concentration affect repressor binding probability?
Is it possible for the inhibitor to later separate or unbind?,Why is non-competitive inhibition reversible according to the paragraph?
How the exact length of DNA molecules can be determined when it is moving?,Why do smaller DNA segments move faster during electrophoresis?
Is a non spontaneous reaction always a reverse reaction?,Why is spontaneity direction-dependent according to Gibbs free energy?
How carbohydrates fit into the fluid mosaic molecule and what do they look like?,How does the glycocalyx enable cell recognition?
What happens to the water at the bottom of the container?,Why does water's surface tension create higher density there?
What stop the salt bridge from itself building up charge?,Why is bidirectional ion flow crucial for a salt bridge?
Do the proteins have a chance of going into the cell?,How do anchoring mechanisms restrict transmembrane protein movement?
How does the rock effect the community?,"How does rock music, like rocks, shape cultural ecosystems?"
"Does that mean that oxygen is the oxidation agent, and hydrogen would be the reduction agent?",Why must oxidation and reduction always occur together?
Don't they also have to travel through the same capillaries?,How does capillary permeability relate to its functional role?
How to identify nucleophiles or electrophiles?,Why does electronegativity dictate electrophile formation?
Are the anode rays only nuclei?,Why were anode rays initially thought to originate from the anode?
Don't a voltage source and a current source both supply a current and voltage in a circuit?,Why does a voltage source generate different currents?
How do ketones have a stronger dipole moment than aldehydes?,Why do aldehydes have lower dipole moments than ketones?
"How does oxygen get dissolved in water,which supports marine life?",Why does oxygen dissolve in water without reacting?
How plants respond to nature?,How does fungal networking enhance plant survival against disease?
Why is habituation considered as a learned behavior?,How does imprinting blend innate behavior with learned recognition?
What happen if the repressor stops functioning?,How would repressor gene mutation affect tryptophan enzyme transcription?
Why is it that animal-based foods are more energy dense than the plants we eat?,Why does energy density increase despite total energy decreasing across trophic levels?
"How does the hydrogen bond in it conform to their definition of van dear Waals forces, which don't involve covalent bonds?",Why isn't the O-H bond in water a hydrogen bond?
Will electrons always start with same number of protons?,How does proton number relate to an atom's overall charge?
And why do we need Plasmid?,Why are plasmids more useful to bacteria than eukaryotes?
How does caring if it`s a polar or non-polar covalent bond help us?,Why does polarity dictate whether substances dissolve in each other?
Is the bacterias native plasmid kicked out or do they become neighbors?,Why is plasmid size crucial for effective gene transfer?
Would we divide the electrons equally between same atoms?,Why assign electrons based on electronegativity when determining oxidation state?
Why do the voltages have to add to zero when we end up back at the same voltage?,Why must voltage change sum to zero in a closed loop?
What force brings these two elements together?,Why does electron transfer create oppositely charged chemical elements?
Does the fly still develop halteres that help it to balance?,How does ultrabithorax inactivation cause haltere absence and imbalance?
Could people get rich changing a lead atom into a gold or silver atom and then selling it for money?,Why is transmutation of atoms so energetically expensive?
What is the reason for the formation of polyatomic ions?,"Why does electron ""missingness"" lead to a polyatomic ion's charge?"
"Human evolve from apes, so if one mated with a human?",Why can't humans breed with other present-day apes?
Why does the Hydrogen choose to bond with another hydrogen in the final step instead of to sodium?,Why does hydrogen react with itself after accepting sodium's electron?
How to compare the electronegativity?,Why does electronegativity increase across and up the periodic table?
Would diffusion take place at all?,How does gravity enable diffusion at absolute zero?
Do plants respond to night light with no heat?,How does the fungal network enhance plant survival against threats?
Can't we just reuse the already existing energy? Why can't you turn heat into energy?,Why is a temperature difference crucial for energy utilization?
How do you tell acidic salt and a normal salt apart?,Why do strong acids/bases yield neutral salts?
How is acetyl chloride formed?,Why must acetyl chloride's reaction products be unreactive?
How to know it is not there without fulfilling the octet rule?,Why does oxygen need lone pairs to satisfy the octet rule?
Why does Bohr model work?,Why did the Bohr model only work for hydrogen?
Why pH 7 is chosen as neutral?,Why is pH 7 considered neutral on the pH scale?
How do the birds survive while trees release carbon dioxide during the night?,How does bird size relate to their shorter sleep duration?
"Why would an electron fall back to any energy level other than the n=1, since there are no other electrons stopping it from falling there?","Why can electrons spontaneously jump down, but not up?"
How does the atom bomb fall into that every element is made up of unique atoms?,"Why does fission, not the whole atom, power atom bombs?"
Why oxygen atoms in the molecular formula of water has 4 more atoms that can be used for other bonds?,Why does oxygen form lone pairs in a water molecule?
"Weaker the acid, stronger the conjugate base?",Why must moderately weak acids/bases have moderately weak conjugates?
Why cant oxygen atom do this inspite o is more electronegative than c and h?,Why does oxygen's higher electronegativity affect bonding electrons?
Do  isotopes ever lose the extra neutron(s) or gain new ones?,Why do isotopes of an element form differently?
Why are the elements in group 2 not stable with 2 valence electrons?,Why don't all chemical elements follow the octet rule?
Does size have any impact on the size of the plasmid that needs to be used?,Why are plasmids >20kb difficult to work with?
How is resonance decreasing reactivity?,How does resonance decrease carboxylic acid reactivity by stabilizing it?
Why the oxygen acquires a positive charge when it bounds to a hydrogen?,Why does hydrogen lose its electron to become a proton?
"Are endocytosis and exocytosis forms of bulk transport, or are they active transport?",Why is bulk transport classified as active transport?
Does Methionine go to E-site(exit) or does it remove after the polypeptides are formed?,"Why is MAP essential in bacteria/yeast, but a cancer target in humans?"
How does Ruminococcus get in the cow's gut to begin with?,How might Ruminococcus colonize a calf's gut later in life?
Why do blood go to the heart if they need oxygen?,Why is pressure needed for deoxygenated blood to reach alveoli?
