reference,prediction
Why/how do electrons have enough charge to negate the effects of protons?,What would happen to an atom if the number of protons and electrons were no longer in equal quantities?
Is allosteric inhibitor non-competitive or competitive?,What are the implications for the substrate's ability to bind at its active site when an allosteric inhibitor binds at a non-competitive allosteric site?
Why does body make more lactose?,What triggers the production of enzymes required to metabolize lactose in the presence of lactose?
Then why does entropy not mean messy?,Does entropy measure the complexity or organization of a system's possible states?
How do viruses and bacteria get into a cell and corrupt them?,What types of viruses are able to enter the cell through endocytosis?
Does allopatric speciation make subgroups or subspecies?,What triggers the divergence in evolutionary paths for two populations of the same species that are separated by a geographical event?
Is reaction that oxygen reacts with carbon to create CO2 anabolic or catabolic?,What determines the level of energetic power between two molecules like O2 and CO2?
Does gel electrophoresis work?,Why does Gel electrophoresis require multiple copies of DNA for analysis?
Does that mean that ribosomes are actually in between the two phospholipid bilayers of the nuclear envelope?,Where do proteins produced by ER-bound ribosomes start their synthesis?
Don't both have hydrogen bonding?,Why do propan-1-ol molecules approach each other more closely than propan-2-ol molecules due to their linearity?
What does surface area have to do with how much energy it takes for these transfers to occur?,"As the ratio of surface area to volume becomes smaller, how do you think this change in the SA:V ratio affects the rate at which nutrients diffuse through a cell?"
"How can cadmium, an element that is somewhere around the middle of the periodic table, have an oxidation state of +2?",What would be the oxidation state of Cadmium if it loses 2 electrons from its valence shell to achieve stability?
How would oxygen share the electrons with the two hydrogens?,What type of charge does an oxygen atom have in the context of hydrogen-oxygen bonding?
"Why not just losing a Hydrogen on the ring itself, as it can be resonance stabilized in the exact same way?",What is the driving force behind the difference in energy gain when removing hydrogen atoms from aromatic stabilization versus benzylic positions?
How come an increase in temperature increases this combination of states?,What are the two factors mentioned in the paragraph as contributing to an increase in the number of micro-states for a gas?
Could anything react with anything?,What kinds of conditions would make a substance spontaneously react with anything else under the right circumstances?
Why does flagella is not an organelle?,"Why do flagella perform both locomotion and functions like excretion in prokaryotic bacteria, suggesting that their multifunctionality is crucial for the organism's survival?"
Why assuming that if two electrons are in the same orbital they will be next to each other?,What are the wave properties of electrons like in terms of their position on an axis?
Does the molecule still remains chiral?,What defines the difference between a molecule having an enantiomer and itself being chiral?
How to determine the oxidation state of oxygen?,"What are the limitations of the oxidation state rules in accurately determining the oxidation states of certain chemicals, such as LiH, where hydrogen's oxidation state deviates from the typical +1 or -1 values?"
Will it work until all reactants are turned into products?,Does the effectiveness of a catalyst depend on whether the reaction would complete without its presence?
Where does evolution occur in nature?,What are the environmental conditions and competition for resources and mates that allow natural selection to take place in a population?
Do the atoms share the electrons (and therefore form a bond)?,What are the specific circumstances under which an atom would choose to donate or gain an electron in order to attain octet configuration?
How the germ cell can go through mitosis?,What is the role of mitosis in the expansion of germ cells before they form sex cells?
Does the Cl conjugate base hang out by itself?,Under what conditions do water molecules form partially positive charges towards the chloride ion?
What makes the carbon dioxide go into the alveoli and the oxygen go into the capillary?,What are the consequences on PCO2 levels in both the blood and alveoli when oxygen from the alveoli diffuses into the bloodstream?
Is neutron only the proton which gets kicked out?,What forms of radiation are more common in nature because they release excess neutrons rather than emitting them directly?
Someone pl meiosis and mitosis with respect to X chromosome?,What happens to the sex chromosomes in a male's gametes during meiosis that differs from their fate in somatic cells?
What is that extra H+ doing there on the head of water?,What is the net result on the water molecule when one hydrogen atom from an OH group creates a glycosidic bond with carbon in another sugar molecule?
"Do cells 'hunt' for bacterium, or it's an occasion?",What triggers the immune response in cells towards bacteria when an infection occurs?
Could diatomic hydrogen also be formed by an ionic bond?,What type of bond can occur between two hydrogen atoms if they have different electronegativity?
Why does a positive kJ result end up with energy leaving a system?,Does a negative delta thetaHf actually imply that energy is released when atoms form bonds in this context?
How can the oxygen being oxidised?,What are the specific circumstances required for oxygen to be considered oxidized according to its typical oxidation number range?
Would the entire ecosystem collapse?,What are the criteria that determine whether an ecosystem is likely to collapse due to the loss of a crucial organism versus a minor one?
Why the HIV virus is coming out of the immune cell?,"At what point do the viruses burst the cell's wall, killing the cell?"
"Human evolve from apes, so if one mated with a human?",What would be the implications for our understanding of species diversity if we were to accept that humans and apes share a common ancestor but do not have identical traits?
Why doesn't carbon form any ionic bond?,Why is it unfavorable for carbon molecules to gain or lose 4 electrons?
"Didn't the H+ get randomly picked up by the OH and then later the OH group attached to Carbon gave up its hydrogen to H2O, making it H3O+?",At what temperature and pressure would H+ ions exist as hydronium ions in water?
Does the Calvin cycle happen after the light-dependent reactions occurs or is the Calvin cycle independent?,What mechanism allows energy from light-dependent reactions to be replenished in the Calvin cycle after being used by the Calvin cycle?
How do the contracting and expanding muscles gets oxygen?,What role does the heart play in supplying oxygen to the body?
Does the body extract the oxygen from the carbon dioxide?,What proportion of the air we breathe is composed primarily of oxygen versus carbon dioxide?
Does the oxygen bonded with another oxygen don't count as another oxidation state?,"What is the oxidation state of oxygen in hydrogen peroxide, given that hydrogen has an oxidation state of +1?"
Why are hydrogen bonds called weak bonds?,"What are the consequences for hydrogen bond strength when hydrogen's diameter is large, or its electronegativity is high?"
Doesn't that violate Markovnikov's rule that the more substituted C will bond with the more substituted reactant?,What are the specific criteria mentioned for determining where the more positive part of the reagent adds to an unsymmetrical alkene in Markovnikov's rule?
How would oxygen share the electrons with the two hydrogens?,What would happen to the hydrogen atoms' charge if they were not sharing with the oxygen atom in the water molecule?
"Does the electron go into an energy level 1/100000 higher, or where does the extra energy go?",What would be the implications on photon absorption if the Heisenberg Uncertainty Principle restricts the energy levels to be non-exact due to a finite uncertainty in the lifetime of the excited state?
Why would osmosis be a form of Passive Transport?,Under what conditions does the movement of water in osmosis stop?
How is water supposed to evaporate at 25 degrees Celsius?,What type of state change occurs when pressure is decreased on water without a corresponding change in temperature?
Whats causes a molecule to have potential energy?,What specific force or interaction between charges is completely eliminated when intermolecular interactions are reduced to zero in a gas molecule?
"Why does a paperclip that is able to sink below the surface, go down to the bottom?","Why does the paper clip continue to sink when placed at the bottom of the water surface, given that both the top and bottom parts of the water are almost equally dense?"
Does anaerobic respiration contribute to metabolic rate?,What effect does the built-up of lactic acid in muscles contribute to in anaerobic respiration that has more prolonged effects than oxygen consumption during cellular respiration?
How would people know if it is redox or a regular one?,What specific steps do people have to assume in order for charges not to balance on a chemical equation?
Does the co-repressor unbind itself from the repressor?,What happens to tryptophan levels in e.coli cells when they are removed as co-repressors from their respective tryptophan repressor molecules?
Is it possible for the inhibitor to later separate or unbind?,"What is required for a binding reaction involving an irreversible inhibitor to be considered a true equilibrium, rather than a reversible process?"
How the exact length of DNA molecules can be determined when it is moving?,Why do scientists stop the voltage during gel electrophoresis once the DNA segments have moved far enough to distinguish them?
Is a non spontaneous reaction always a reverse reaction?,What determines if a reaction is spontaneous in one direction while being non-spontaneous in its opposite direction?
How carbohydrates fit into the fluid mosaic molecule and what do they look like?,What allows other cells to recognize the cell as either similar or different from another cell through the glycocalyx formed by polysaccharides?
What happens to the water at the bottom of the container?,What are the subtle molecular forces at play at the interface between the denser surface water and the less dense bottom water that allow a paper clip to sink beneath the surface?
