reference,prediction
Why/how do electrons have enough charge to negate the effects of protons?,What is a result of having equal quantities of electrons and protons in an atom?
Is allosteric inhibitor non-competitive or competitive?,What is the location where an allosteric inhibitor binds in a reaction?
Why does body make more lactose?,What is required for the production of enzymes that metabolise lactose?
Then why does entropy not mean messy?,What is entropy not exactly?
How do viruses and bacteria get into a cell and corrupt them?,What is one way that a virus can enter a host cell through its cellular membrane?
Does allopatric speciation make subgroups or subspecies?,What happens to two populations of the same species that were separated by a geographical event after thousands of years?
Is reaction that oxygen reacts with carbon to create CO2 anabolic or catabolic?,What is a key reason why O2 has greater oxidative power than CO2?
Does gel electrophoresis work?,Why is it beneficial to have many copies of DNA before performing gel electrophoresis?
Does that mean that ribosomes are actually in between the two phospholipid bilayers of the nuclear envelope?,Where are ribosomes attached to the cell membrane?
Don't both have hydrogen bonding?,Why does propan-1-ol have higher London dispersion forces than propan-2-ol?
What does surface area have to do with how much energy it takes for these transfers to occur?,What happens to the rate of diffusion as a cell's size increases?
"How can cadmium, an element that is somewhere around the middle of the periodic table, have an oxidation state of +2?",What is the number of electrons in Cadmium's valence shell?
How would oxygen share the electrons with the two hydrogens?,What charge does the oxygen atom have?
"Why not just losing a Hydrogen on the ring itself, as it can be resonance stabilized in the exact same way?",What is a result of removing a ring hydrogen compared to a benzylic hydrogen?
How come an increase in temperature increases this combination of states?,What does an increase in temperature do to the range of velocities that molecules are likely to have?
Could anything react with anything?,What are some of the conditions that can cause a chemical reaction to occur spontaneously?
Why does flagella is not an organelle?,What are some of the functions performed by a flagellum in prokaryotic bacteria?
Why assuming that if two electrons are in the same orbital they will be next to each other?,What is meant by the statement that electrons occupy the entire orbital?
Does the molecule still remains chiral?,What happens if the mirror image of a molecule is just the molecule itself?
How to determine the oxidation state of oxygen?,What is the oxidation state of oxygen in peroxides and superoxides?
Will it work until all reactants are turned into products?,What is a catalyst used for in a reaction?
Where does evolution occur in nature?,What is the major mechanism by which evolution takes place?
Do the atoms share the electrons (and therefore form a bond)?,What type of bond is formed when one atom steals an electron from another due to a large difference in electronegativity?
How the germ cell can go through mitosis?,What is necessary for some of the germ cells to form sex cells?
Does the Cl conjugate base hang out by itself?,What type of interaction does Cl- have with water molecules?
What makes the carbon dioxide go into the alveoli and the oxygen go into the capillary?,What is the direction of CO2 spread between the blood and alveoli?
Is neutron only the proton which gets kicked out?,What is a common form of decay in high neutron count isotopes?
Someone pl meiosis and mitosis with respect to X chromosome?,What is the result of meiosis in a male's gametes with respect to sex chromosomes?
What is that extra H+ doing there on the head of water?,What remains of the hydrogen atom when a water molecule dissociates in an ion condensation reaction?
"Do cells 'hunt' for bacterium, or it's an occasion?",What draws immune cells to bacteria in the face of an infection?
Could diatomic hydrogen also be formed by an ionic bond?,What is required for an ionic bond to occur between two hydrogen atoms?
Why does a positive kJ result end up with energy leaving a system?,What does a negative delta θHf indicate in terms of energy during atom bonding?
How can the oxygen being oxidised?,What is the charge on oxygen in its ionic state?
Would the entire ecosystem collapse?,What happens to an ecosystem once it collapses?
Why the HIV virus is coming out of the immune cell?,What is killed when the cell is completely filled with new viruses?
"Human evolve from apes, so if one mated with a human?",What type of offspring would result if a human were mated with an ape?
Why doesn't carbon form any ionic bond?,"Why does carbon form single, double, and triple bonds instead of forming ionic bonds?"
"Didn't the H+ get randomly picked up by the OH and then later the OH group attached to Carbon gave up its hydrogen to H2O, making it H3O+?",What forms when H+ ions are attracted to one of the two lone pairs of a water molecule?
Does the Calvin cycle happen after the light-dependent reactions occurs or is the Calvin cycle independent?,What provides energy for the Calvin cycle?
How do the contracting and expanding muscles gets oxygen?,What role does oxygen play in relation to the functioning of the heart?
Does the body extract the oxygen from the carbon dioxide?,What are some of the gases that make up the air we breathe?
Does the oxygen bonded with another oxygen don't count as another oxidation state?,What is the oxidation number of oxygen in hydrogen peroxide?
Why are hydrogen bonds called weak bonds?,What is the reason for regional polarization in molecules that causes hydrogen bonds?
Doesn't that violate Markovnikov's rule that the more substituted C will bond with the more substituted reactant?,What is always adding to the end of the chloroethene in Markovnikov's rule?
How would oxygen share the electrons with the two hydrogens?,What charge does each hydrogen atom have?
"Does the electron go into an energy level 1/100000 higher, or where does the extra energy go?",What is a factor that causes non-zero line widths in the energy levels of electrons?
Why would osmosis be a form of Passive Transport?,What is an example of passive transport mentioned in the paragraph?
How is water supposed to evaporate at 25 degrees Celsius?,What factor determines whether a liquid changes state to a gas without its temperature having to change at all?
Whats causes a molecule to have potential energy?,What causes potential energy in molecules?
"Why does a paperclip that is able to sink below the surface, go down to the bottom?",Why does a paper clip sink in water?
Does anaerobic respiration contribute to metabolic rate?,What is the process that jumps into the scene for extensive and intensive metabolic activities?
How would people know if it is redox or a regular one?,What happens when the charges in a chemical equation do not balance?
Does the co-repressor unbind itself from the repressor?,What happens to tryptophan levels when they are low?
Is it possible for the inhibitor to later separate or unbind?,What typically occurs for an inhibitor's binding reaction in non-competitive inhibition?
How the exact length of DNA molecules can be determined when it is moving?,What causes the DNA segments to move at different rates during gel electrophoresis?
Is a non spontaneous reaction always a reverse reaction?,What is determined by the sign of the Gibbs (free) energy in a reaction?
How carbohydrates fit into the fluid mosaic molecule and what do they look like?,What are two major functions of polysaccharides when attached to other molecules?
What happens to the water at the bottom of the container?,What is responsible for the surface of the water being more dense than the water at the bottom?
