text,topic,question
"Neurons are the most unique cells in our body. Some are extremely small, while others are very large. In general, neurons do not repair well. If several neurons were damaged, such as in a spinal cord injury, you already know the individual would be paralyzed and it is unlikely the individual would ever walk again. If a portion of a neuron is damaged, it may or may not be able to find and re-connect with itself. If the axon is damaged, the myelin cells such as Schwann cells form a tunnel to help direct the axon to the other portion. Never-the-less, even after several years, if you touch an area of your body that has a scar, you will realize that touch or feeling over that scar has changed and it is not as sensitive as it once was because the receptors and axons were damaged when the skin was damaged. Now, even though the skin is well healed, the nervous tissue has not healed and therefore the sense of touch is poor over that scar. Epithelial tissue and connective tissue heal well, but nervous tissue does not have the ability to divide and replace neurons that have been damaged so it does not heal well.",Neuron,Can neurons be healed?
"HIV infects vital cells in the human immune system such as helper T cells , macrophages, and dendritic cells.",Immune system,How do the innate and adaptive cells of the immune systems lose their functions?
"tetrahedral e.g. carbon at the centre of the tetrahedron, hydrogens at the four vertices. Trigonal pyramidal e.g. nitrogen at a vertex of the triangular pyramid (apex of pyramid), hydrogens at the vertices of the triangular base of pyramid. A tetrahedron is a regular triangular pyramid. But the way the word ""tetrahedral"" is used is different from what you normally think of when you picture a tetrahedron. They say that CH4 (methane) has a tetrahedral shape. Now, you may think the four C-H bonds form a tetrahedron, but that's wrong: they don't. If you join the four hydrogen atoms with straight lines, you'd get a tetrahedron in that case. Trigonal pyramidal, on the other hand, is different. They might say NH3 is trigonal pyramidal, by which they mean that the 3 N-H bonds form three sides of a triangular pyramid, where the N is the apex of the pyramid. The triangular ""base"" of the pyramid is formed by the three H atoms joined to each other. I don't want to confuse you, but trigonal pyramidal shaped NH3 has a tetrahedral ""geometry"".",Tetrahedron,How is trigonal pyramidal different from tetrahedral?
"Anabolic reactions are defined as biological reactions that create more complex (larger) molecules. Anabolic reactions are endergonic (store energy). Anabolic reactions do use energy harvested from catabolic processes, but that is not typically part of the definition of anabolism.",Anabolism,Does anabolism and catabolism is a cyclic process?
"A positively charged carbon would normally have three other atoms bonded to it still, have 3 groups: one sigma bond to hydrogen, and two sigma bonds to the carbons. 3 groups need 3 hybrid orbitals, so we add 3 atomic orbitals (s+p+p) to get 3 hybrid sp2 hybrid orbitals. Carbocations are sp2 hybridized. ",Orbital hybridisation,What will be its hybridization state?
"Sodium chloride ionic compounds form a gigantic lattice structure due to the electrostatic attractions between the individual ions. In this case, each sodium ion is surrounded by 4 chloride ions and each chloride ion is surrounded by 4 sodium ions and so on and so on, so that the result is a massive crystal. This particular ratio of Na ions to Cl ions is due to the ratio of electrons interchanged between the 2 atoms",Sodium chloride,Why cannot there be a single molecule of NaCl?
"Once one molecule gets a slightly positive side and a slightly negative side, it will induce polarisation in it's neighbours. So the positive end will attract the electron density from the neighbouring molecule, which in turn then gets a negative end and a positive end, etc. Repulsive forces don't induce each other, so you just get attraction.",Coulomb's law,Why aren't repulsive forces just as likely as attractive ones?
"The hormones are considered Intracellular, the reaction occurs within the cell, Intercellular refers to when the reaction occurs externally between two cells.",Hormone,Would hormones be considered intercellular signals or intracellular signals?
"boiling point will change, that has a lot to do with atmospheric pressure, and that is why in some places it takes a higher heat to boil or in others a lower heat to boil. Also about that topic it can take a longer time to boil or shorter based on atmospheric pressure, but that has more to do with pressure than heat.",Boiling point,Will the boiling point change?
"During the flat bit of the phase transition diagram, where temperature doesn't change despite the addition of more heat, the ice is melting and there is a mixture of ice and liquid water. Only when the last bit of ice has melted, and all the water is liquid, does the temperature start to rise.",Water,Does one classify the H2O molecules as solid or liquid?
"Water vapourizes at 100 degrees celsius but evaporates at a lower temperature. Vapourization is the change from liquid to gas at a fixed or definite temperature whereas evaporation is the change from liquid to gas at a variable temperature. the boiling temperature is the temperature at which the vapour pressure of the liquid is equal to the atmospheric pressure. If heat is added, the liquid will start to boil and bubbles of vapour can withstand the atmospheric pressure and escape the liquid. High up in the mountains, atmospheric pressure is low. The boiling temperature of water is only 93  degree Celsius at 2000 metres. the mercury boiling point is around 357 degree C, but evaporation can happen all the time, slowly, on the surface, as the particles get enough energy to separate themselves from the forces of attraction that hold them together.",Boiling point,Should none of the water evaporate because the boiling point of water is 100 Celsius?
"magnetism is generated in the core via different methods than permanent magnets. in the core, magnetism is generated by the outer core as it rotates slower than the solid inner core thus generating huge amounts of frictional energy and kicking electrons of the iron and nickel molecules generating a magnetic field. this method is not affected by high temperatures but slows in lower temperatures. it is known that one day, the Earth will cool and the inner core will melt so the friction between the cores reduces and so does the strength of the magnetic field.",Magnetism,Why the earth doesn't looses its magnetic property?
"The energy is not distributed among multiple electrons. For the photon to be absorbed, it has to match the energy change corresponding to a single electron moving from one energy level to another. You really should not think too literally about the Bohr model since it is not a correct view of how atoms actually work. It was a model that worked only for an isolated hydrogen atom (and not even perfectly for that). There's no way to apply it to argon or any other atom. This is what prompted physicists to keep working to find our modern model of the atom. What you can apply is the concept of quantized energy levels. Bohr's model was a first step in that direction.",Electron,How is the energy from a photon distributed among the electrons in various energy shells/sublevels/orbitals?
The RNA primer contain uracil but it is  removed and replaced by DNA by enzymes including a nuclease and a polymerase. There are no DNA primers in humans. ,RNA,How is the RNA changed into DNA?
"The direction that energy gets transformed in always happens according to the second law of thermodynamics. This states that energy changes only happen in ways in which that entropy increases (or stays the same), but not decrease. In a small area, entropy may decrease, but overall the entropy of the universe must increase. There are lots of way to describe entropy, but it is closely related to heat. So one example of the second law of thermodynamics is saying that heat can only flow from a hot object to a cold object. If you have a hot and a cold block of metal next to each other, you won't see the cold one get colder and the hot one get hotter. The thermal energy from the hot one will become more spread out and passed on also to the colder one, until they reach the same temperature. As for why this happens, I can't really explain _why_ energy only flows in this direction. But everything follows these patterns. There isn't anything that can break the second law of thermodynamics. ",Energy,It move all by itself without anything else applying force on the energy?
"These cells that are uncontrollably dividing are also not doing their normal jobs. They are diverting bodily resources and not performing vital functions. For example, if you have tumor in your heart those cancer cells in that tumor are not doing what normal heart cells do, work together to pump blood. The actual immediate cause of death varies. For example, someone might die of a blood clot in their brain from a tumor blocking a vital blood vessel.",Cancer,What about the cells dividing uncontrollably makes cancer so lethal?
"Division involves separating 2 bundles of chromosomes by pulling them by their centromeres. Condensation allows for everything to untangle prior to division (remember that a single human cell has around 2 meters of DNA !), and it also gives more resistance to the chromosomes themselves so they do not break while being pulled back and forth during metaphase/anaphase.",Chromosome,Why cant chromosomes undergo division without condensing?
"A nucleophile is a Lewis base (an electron pair donor). Let's represent it as Nu:-. An electrophile is a Lewis acid (an electron pair acceptor). Let's represent it as E+. Now, let's compare chloride ion, Cl-, and a chlorine molecule, Cl2. Cl- is a pretty good *nucleophile*, because it has four lone pairs and a negative charge. It can react with some electrophile, E+ Cl:- + E+ → Cl-E Now let's look at Cl2 as a nucleophile. It has six lone pairs, so it should be a good nucleophile, right? *Wrong*. Cl2 acting as a nucleophile with E+ would give: Cl-Cl: + E+ → Cl+ + Cl-E The reaction would form Cl+, but this won't happen because Cl is the second most electronegative atom in the Periodic Table. It won't easily give up its electrons to form a positive ion. Rather, Cl2 will act as an *electrophile* in a reaction like Nu:- + Cl-Cl → Nu-Cl + :Cl- This generates a nice, stable chloride ion, so everybody is happy. Summary, chloride ion is a nucleophile but chlorine is an electrophile.",Chlorine,Something about chlorine not being stable?
"Are all motor proteins found in living creatures? The answer is yes because motor proteins are found in living cells and function them properly. they have varied specific and important roles and they are found in all living cells doing all the things inside the cells. motor proteins are essential proteins for all organisms - they have lots of important roles such as muscle contraction, transporting cargo around the cell and cell motility",Motor protein,Do motor proteins all serve a similar function or can they have many varied or specific roles?
"There are different types of neurones in the body, with different locations of the axons and dendrites. The neurone that you are most familiar with are *multipolar* neurones. They make up 99% of all neurones and has 3 or more processes projecting out of the soma. They are the classic example of neurones, with axons carrying information away from the soma and dendrites bringing information back in. The other two types are *bipolar* and *unipolar* neurone. Bipolar neurones has only two processes: an axon and a dendrite. They are found in special sensory places, such as the retina of the eye or the olfactory epithelium. Unipolar neurones have only 1 processes, which contains both the axon and dendrite. They are more common, found in the skin, joints, muscles, and internal organs.",Dendrite,Why the sensory neurons in the ganglia have axons that carry impulses towards the soma instead of dendrites that carry impulses towards the soma?
