reference,prediction
Do electronegativity and elektrodepotential both describe to what extent an atom can attract electrons?,How does electronegativity relate to electron affinity and ionization energy?
How lithium behaves as a strong reducing agent?,How does ionization potential affect a metal's reducing agent strength?
How come Li has more reduction potential than Na or K?,Why does increased electron shielding affect reduction potential?
Does more reactive imply a greater reducing potential?,Why does increased atomic radius reduce electron attraction in reduction?
How come Li has more reduction potential than Na or K?,Why does lithium have the highest hydration energy among alkali metals?
Does more reactive imply a greater reducing potential?,Why is lithium's hydration energy greater than other alkali metals'?
Why do lone pairs of electrons form hybrid orbitals?,How does a lone pair's orbital affect bond angle size?
Why Nitrogen needs sp3 Hybridization to form ammonia?,Why are all N-H bonds in ammonia equal in length?
Why lone pairs of electrons have their own hybridized orbitals?,Why do paired electrons favor orbital hybridization?
Why oxygen atoms in the molecular formula of water has 4 more atoms that can be used for other bonds?,Why does oxygen form lone pairs in water molecules?
Does one classify the H2O molecules as solid or liquid?,Why does water temperature remain constant during phase change?
Does one classify the H2O molecules as solid or liquid?,Why does water temperature remain constant during phase transition?
Is there a limit to that the steam will get hotter?,How does temperature affect the rate of steam decomposition?
Does applying more heat not change the average kinetic energy?,Why does superfluid helium exhibit zero viscosity at low temperatures?
Is a non spontaneous reaction always a reverse reaction?,How does Gibbs free energy predict reaction spontaneity's direction?
What is the meaning of the equilibrium constant?,How does K value relate to product and reactant concentrations?
Why an ether and an alcohol can be considered structural isomers but these molecules cannot?,How does oxygen placement affect ether and alcohol properties?
Why is there so much more water on Earth than ammonia even though nitrogen is more abundant?,Why does nitrogen form different numbers of bonds than oxygen?
How to calculate the frequency of the fire?,How does element type and bonding affect emitted light frequency?
How will the viscosity of liquid be affected by increase in temperature?,How does temperature affect the kinetic energy of viscous materials?
How will the viscosity of liquid be affected by increase in temperature?,How does temperature affect the intermolecular forces within a liquid?
What gives an electron a negative charge and what gives a proton a positive charge?,Why does a proton possess a positive electrical charge?
What gives an electron a negative charge and what gives a proton a positive charge?,How does electron spin relate to its fundamental properties?
Why do they always say 'atomic weight' on the periodic table?,How does isotope distribution affect measurements using weighted units?
Why do strong acid and bases give 100% ionization?,Why are ions of strong acids/bases relatively unreactive in water?
what is the difference if atomic weight and atomic mass are not the same thing?,How does atomic mass relate to an element's molar mass?
Is surface tension responsible for the pain felt by a person?,How do hydrogen bonds relate to water's surface tension?
Is surface tension responsible for the pain felt by a person?,How does impact speed relate to water displacement force?
