reference,prediction
Do electronegativity and elektrodepotential both describe to what extent an atom can attract electrons?,How does electronegativity relate to electron affinity?
How lithium behaves as a strong reducing agent?,How does ionization potential affect reducing agent strength?
How come Li has more reduction potential than Na or K?,Why does lithium attract electrons more strongly than potassium?
Does more reactive imply a greater reducing potential?,Why does lithium easily attract electrons for reduction?
How come Li has more reduction potential than Na or K?,Why is lithium the best reducing agent among alkali metals?
Does more reactive imply a greater reducing potential?,How does hydration energy make Lithium a strong reducing agent?
Why do lone pairs of electrons form hybrid orbitals?,How does lone pair hybridization affect bond angles?
Why Nitrogen needs sp3 Hybridization to form ammonia?,Why are all N-H bond lengths in ammonia equal?
Why lone pairs of electrons have their own hybridized orbitals?,Why do paired electrons cause orbital hybridization?
Why oxygen atoms in the molecular formula of water has 4 more atoms that can be used for other bonds?,How do oxygen's lone pairs affect water molecule behavior?
Does one classify the H2O molecules as solid or liquid?,Why does water's temperature remain constant during melting?
Does one classify the H2O molecules as solid or liquid?,Why does water's temperature remain constant during melting?
Is there a limit to that the steam will get hotter?,How does increasing temperature cause water molecules to decompose?
Does applying more heat not change the average kinetic energy?,Why does superfluid helium exhibit zero viscosity?
Is a non spontaneous reaction always a reverse reaction?,How does Gibbs free energy determine a spontaneous process?
What is the meaning of the equilibrium constant?,Why do concentrations differ at equilibrium when K ≠ 1?
Why an ether and an alcohol can be considered structural isomers but these molecules cannot?,Why do dot structures not differentiate bromo-chloro-fluoro-methane enantiomers?
Why is there so much more water on Earth than ammonia even though nitrogen is more abundant?,Why is nitrogen bonded with hydrogen basic?
How to calculate the frequency of the fire?,How do element bonds determine emitted frequency ranges?
How will the viscosity of liquid be affected by increase in temperature?,How does kinetic energy affect a liquid's viscosity?
How will the viscosity of liquid be affected by increase in temperature?,Why does liquid viscosity decrease with increasing temperature?
What gives an electron a negative charge and what gives a proton a positive charge?,Why does a proton possess a natural positive electrical charge?
What gives an electron a negative charge and what gives a proton a positive charge?,Why is the electron considered a fundamental point particle?
Why do they always say 'atomic weight' on the periodic table?,How does isotopic distribution affect weighted chemical measurements?
Why do strong acid and bases give 100% ionization?,Why do strong acids favor the forward reaction?
what is the difference if atomic weight and atomic mass are not the same thing?,What defines atomic mass compared to molecular mass?
Is surface tension responsible for the pain felt by a person?,How do hydrogen bonds contribute to water's surface tension?
Is surface tension responsible for the pain felt by a person?,How does impact speed affect body damage from water?
Why didn't only one drop leak out?,How does gravity overcome surface tension during liquid overflow?
What was happening molecularly to the surface of the water?,"How does gravity overcome surface tension, causing overflow?"
How surface tension applies to the shape of water droplet?,How does surface tension influence water droplet shape?
Why don't the oxygen atoms in the air bond to the water molecules on the surface and pull on water molecules?,How does agitation affect oxygen absorption in water?
How does water evaporate?,How do waves affect water molecules entering the air?
What happens to the water at the bottom of the container?,Why is surface water denser than bottom water?
"Why does a paperclip that is able to sink below the surface, go down to the bottom?",What causes a paper clip to sink in water?
How does the brain get the oxygen and glucose it needs?,How does sodium drive glucose transport into BBB cells?
Why is the brain included in central nervous system?,"Why is it called the central nervous system?""?"
Are the cranial nerves part of the CNS and the spinal nerves part of the PNS?,How do cranial nerves function within the PNS?**?
Why the sensory neurons in the ganglia have axons that carry impulses towards the soma instead of dendrites that carry impulses towards the soma?,How do dendrite processes vary among neuron types?
What does surface area have to do with how much energy it takes for these transfers to occur?,How does surface area affect cellular diffusion efficiency?
How to know it is not there without fulfilling the octet rule?,How do lone pairs help oxygen satisfy the octet rule?
How does oxygen get a triple bond with carbon?,How does oxygen form a coordinate covalent bond?
How does oxygen get a triple bond with carbon?,What makes the CO triple bond shorter than a double bond?
How would dogs and horses be listed?,What is the evolutionary relationship between horses and dogs?
How would dogs and horses be listed?,What shared traits define horses and dogs as placental mammals?
How are they classified on the map?,What distinguishes species from subspecies by interbreeding?
Are they consider a different species or a subspecies?,How does interbreeding capacity define subspecies versus distinct species?
Do we also breathe in the nitrogen in the atmosphere and do we take in this nitrogen?,Why is atmospheric N2 unusable by heterotrophs?
Would air particles perform a tiny sonic boom?,Why do sonic booms require an atmospheric medium?
Would air particles perform a tiny sonic boom?,"Why does compression, not particle speed, cause a sonic boom?"
Would air particles perform a tiny sonic boom?,Why can't a single particle generate a sonic boom?
Would air particles perform a tiny sonic boom?,How do shock waves create a sonic boom?
Does it have to consider the direction of the molecules or the absolute value?,What makes kinetic energy a scalar quantity?
Why do things burn or explode?,How does molecular speed affect spontaneous oxidation probability?
Why is the speed increasing while the temperature is constant?,How does temperature affect average molecular speed?
After a while would the graph for the same system be different?,How do graphs model relationships between discrete objects?
Is there any specific reason mole was defined using the number of elemental entities of carbon-12?,Why is Carbon 12 considered a stable isotope?
How does the body know what to send down the esophagus and what to send down the trachea?,How does the trachea stay open during breathing?
How does the body know what to send down the esophagus and what to send down the trachea?,How does swallowing direct food into the esophagus?
Does some air leak or escape?,How does Earth's atmosphere sustain life?
How efficient is this system?,How does the respiratory system achieve such high air delivery efficiency?
Does some air leak or escape?,How does the respiratory system prevent air leakage?
Does our body use the co2 produced by our body?,How does CO2 convert ammonia into less toxic urea?
Why do we need two lungs?,Why do lungs have many small bronchioles and villi?
Why do we need two lungs?,Why are two small lungs more effective than one large lung?
What becomes of the oxygen that had not been used up?,Do humans exhale more oxygen than they utilize?
Does oxygen that had not been used up escape?,Why do humans exhale so much unused oxygen?
Are lungs controlled in a voluntary or involuntary manner?,How does abdominal breathing increase lung gas exchange?
Why do blood go to the heart if they need oxygen?,How does pressure move deoxygenated blood to the alveoli?
Do blood get filled by the alveoli?,How do pulmonary alveoli facilitate gas exchange?
Why hasn't the body evolved so that 'solid' stuff doesn't travel from the nose to the stomach?,How do stomach acids effectively kill ingested germs?
Why hasn't the body evolved so that 'solid' stuff doesn't travel from the nose to the stomach?,How does swallowing mucus clear nasal passages?
How much time does the gasses presented in the blood getting exchanged by the alveoli takes?,"Why does brain oxygen deprivation cause rapid, permanent damage?"
Why does the 4s orbital fill in general?,Why are there exceptions to the Madelung rule?
"How can cadmium, an element that is somewhere around the middle of the periodic table, have an oxidation state of +2?",Why does Cadmium lose electrons to achieve stability?
Are the anode rays only nuclei?,Does the anode itself produce positive particles?
How will indicator help?,Why is phenolphthalein suitable for strong base-weak acid titrations?
Does the colour goes away?,Why does Bromothymol Blue only darken at high pH?
Does the colour goes away?,Why does Bromthymol blue maintain color outside its range?
Why doesn't a titration of HCL against Na2CO3 go to completion?,Why does phenolphthalein miss the second equivalence point?
How can Osmosis be a form of Passive Transport?,How does water move across a selectively permeable membrane?
Shouldn't Osmosis technically be classified as a form of active transport?,How does active transport utilize energy from respiration?
Why would osmosis be a form of Passive Transport?,How does concentration gradient drive passive transport?
How molecules move from areas of high concentration to low concentration?,Why does water move from high to low concentration in osmosis?
Shouldn't osmosis technically be classified as a form of active transport?,Why does active transport require energy for substance movement?
Is osmosis also passive transport for water?,How does passive transport occur without cellular energy?
Did RNA exist before cells?,"What evolved first, DNA or proteins, after RNA's origin?"
How would that water continue through the water cycle?,How does transpiration return water to the water cycle?
Why are the electrons mapped out in such an orderly way?,How does Bohr's model simplify understanding of atomic concepts?
According to what definition?,Why does zinc's d-orbital configuration exclude it from transition metals?
Is the theory called a law?,Does a scientific theory differ fundamentally from a scientific law?
Would that salt water need to be heated at a higher temperature before it began to evaporate?,Does atmospheric pressure influence Earth's atmospheric temperature?
How is salt in the water?,How does the hydrological cycle transport salt from soil to oceans?
Why wouldn't the males be affected but the females would?,How do hormones regulate X-linked gene expression in different sexes?
What do females get in terms of alleles/genetic traits that males don't?,Why do two X chromosomes lower X-linked disease risk?
