reference,prediction
Do electronegativity and elektrodepotential both describe to what extent an atom can attract electrons?,How does electronegativity relate to an element's ability to hog electrons?
How lithium behaves as a strong reducing agent?,How does ionization potential determine an element's reducing agent strength?
How come Li has more reduction potential than Na or K?,How do atomic radius and electron shielding affect an atom's ability to gain electrons?
Does more reactive imply a greater reducing potential?,How do atomic radius and electron shielding affect an atom's ability to gain electrons?
How come Li has more reduction potential than Na or K?,How does lithium's large hydration energy make it a strong reducing agent?
Does more reactive imply a greater reducing potential?,How does lithium's high charge density enhance its reducing power via hydration energy?
Why do lone pairs of electrons form hybrid orbitals?,How does an un-hybridized lone pair in a p orbital affect bond angles?
Why Nitrogen needs sp3 Hybridization to form ammonia?,Why was the idea of 2s and 2p orbital bonding for ammonia discarded?
Why lone pairs of electrons have their own hybridized orbitals?,"Why do paired electrons undergo orbital hybridization, lowering total molecular energy?"
Why oxygen atoms in the molecular formula of water has 4 more atoms that can be used for other bonds?,How are oxygen's valence electrons distributed between shared bonds and lone pairs?
Does one classify the H2O molecules as solid or liquid?,Why does water's temperature remain constant during the ice-liquid phase transition?
Does one classify the H2O molecules as solid or liquid?,Why does water's temperature remain constant during ice melting despite added heat?
Is there a limit to that the steam will get hotter?,How does increasing temperature influence the gradual decomposition of water molecules?
Does applying more heat not change the average kinetic energy?,Why does superfluid helium exhibit zero viscosity and flow up container sides?
Is a non spontaneous reaction always a reverse reaction?,What does a positive dG imply about reaction spontaneity and direction?
What is the meaning of the equilibrium constant?,How does K=0 result in zero product concentration at equilibrium?
Why an ether and an alcohol can be considered structural isomers but these molecules cannot?,Why are enantiomer dot structures identical despite their stereochemistry?
Why is there so much more water on Earth than ammonia even though nitrogen is more abundant?,Why does nitrogen bonded with hydrogen exhibit basic properties?
How to calculate the frequency of the fire?,"How do electron orbital level changes influence emitted electromagnetic frequencies?""?"
How will the viscosity of liquid be affected by increase in temperature?,How does increased kinetic energy decrease a substance's viscosity?
How will the viscosity of liquid be affected by increase in temperature?,How does increased kinetic energy overcome intermolecular forces to decrease viscosity?
What gives an electron a negative charge and what gives a proton a positive charge?,How does a proton's natural charge cause its path to be deflected in a magnetic?
What gives an electron a negative charge and what gives a proton a positive charge?,How does an electron's point-like nature differentiate it from composite particles?
Why do they always say 'atomic weight' on the periodic table?,How does a non-normal isotope distribution affect measurements expressed in weighted units?
Why do strong acid and bases give 100% ionization?,How does the favorability of the forward reaction determine acid strength?
