reference,prediction
Do electronegativity and elektrodepotential both describe to what extent an atom can attract electrons?,"""Is electronegativity closely related to electropotential in describing an atom's electron-attraction tendency?"""
How lithium behaves as a strong reducing agent?,"""What is the relationship between ionization potential and strength of a reducing agent?"""
How come Li has more reduction potential than Na or K?,"""What is the relationship between atomic radius, electron shielding, and reactivity in group one metals?"""
Does more reactive imply a greater reducing potential?,What is the relationship between shielding effect and atomic radius in reduction processes?
How come Li has more reduction potential than Na or K?,Is hydration energy a crucial factor in lithium's strong reducing agent properties?
Does more reactive imply a greater reducing potential?,Is hydration energy a determining factor for lithium's strong reducing agent properties?
Why do lone pairs of electrons form hybrid orbitals?,What is the effect of a lone pair in a p orbital on N-H bond geometry?
Why Nitrogen needs sp3 Hybridization to form ammonia?,"""Is hybridization of 2s and 2p orbitals necessary to explain ammonia's shape?"""
Why lone pairs of electrons have their own hybridized orbitals?,Is hybridization of paired electrons essential for lowering total energy in a molecule?
Why oxygen atoms in the molecular formula of water has 4 more atoms that can be used for other bonds?,"""What is the meaning of lone pairs in oxygen atoms and its role?"""
Does one classify the H2O molecules as solid or liquid?,Does the phase transition from ice to liquid water occur without a temperature change?
Does one classify the H2O molecules as solid or liquid?,"""What mechanisms govern the phase transition from solid to liquid water during a phase transition?"""
Is there a limit to that the steam will get hotter?,"""What is the point at which water molecules start to decompose significantly?"""
Does applying more heat not change the average kinetic energy?,What is the relationship between superfluidity and its apparent viscosity in helium.
Is a non spontaneous reaction always a reverse reaction?,What is the relationship between dG0 and spontaneity in a chemical reaction?
What is the meaning of the equilibrium constant?,What is the implication of K>1 on the concentration ratio of products to reactants?
Why an ether and an alcohol can be considered structural isomers but these molecules cannot?,What is the reason for the similarity in dot structures between enantiomers and structural isomers?
Why is there so much more water on Earth than ammonia even though nitrogen is more abundant?,What is the reason nitrogen forms different numbers of bonds with other elements?
How to calculate the frequency of the fire?,What frequencies of electromagnetic fields are emitted during oxidation of specific elements?
How will the viscosity of liquid be affected by increase in temperature?,Is increased kinetic energy responsible for honey's decrease in viscosity when heated?
How will the viscosity of liquid be affected by increase in temperature?,Is the decrease in viscosity with temperature a direct result of increased kinetic energy?
What gives an electron a negative charge and what gives a proton a positive charge?,What is the natural property of protons that causes deflection in a magnetic field?
What gives an electron a negative charge and what gives a proton a positive charge?,"""Is the annihilation of an electron and a positron in collision governed by electromagnetism?"""
Why do they always say 'atomic weight' on the periodic table?,What is the implications of a non-normal distribution of isotopes on weighted average measurements?
Why do strong acid and bases give 100% ionization?,Does a strong acid's high dissociation favor the forward reaction over the backward reaction?
what is the difference if atomic weight and atomic mass are not the same thing?,What is the correct term to describe the mass of a single atom in grams?
Is surface tension responsible for the pain felt by a person?,"""What is the role of hydrogen bonds in creating surface tension when hit with water?"""
Is surface tension responsible for the pain felt by a person?,"""What is the relationship between water displacement and impulse force on human body?"""
Why didn't only one drop leak out?,"""What is the role of surface tension in influencing molecular behavior when gravity overcomes it?"""
