reference,prediction
Do electronegativity and elektrodepotential both describe to what extent an atom can attract electrons?,How does electronegativity relate to electropotential of an element?
How lithium behaves as a strong reducing agent?,How does ionization potential influence an element's strength as a reducing agent?
How come Li has more reduction potential than Na or K?,How does atomic radius affect an atom's electron gain ability?
Does more reactive imply a greater reducing potential?,Why does increased atomic radius reduce electron attraction in reduction?
How come Li has more reduction potential than Na or K?,How does lithium's hydration energy affect its reducing power?
Does more reactive imply a greater reducing potential?,How does hydration energy affect lithium's strength as a reducing agent?
Why do lone pairs of electrons form hybrid orbitals?,How does a lone pair's orbital affect bond angles?
Why Nitrogen needs sp3 Hybridization to form ammonia?,Why are all N-H bonds in ammonia of equal length?
Why lone pairs of electrons have their own hybridized orbitals?,Why do paired electrons favor orbital hybridization?
Why oxygen atoms in the molecular formula of water has 4 more atoms that can be used for other bonds?,Why does oxygen form lone pairs in water molecules?
Does one classify the H2O molecules as solid or liquid?,Why does water temperature remain constant during phase transition?
Does one classify the H2O molecules as solid or liquid?,Why does water temperature remain constant during phase transition?
Is there a limit to that the steam will get hotter?,How does temperature affect the rate of steam decomposition?
Does applying more heat not change the average kinetic energy?,Why does superfluid helium exhibit zero viscosity at low temperatures?
Is a non spontaneous reaction always a reverse reaction?,How does Gibbs free energy relate to reaction spontaneity?
What is the meaning of the equilibrium constant?,How does K relate to reactant and product concentrations at equilibrium?
Why an ether and an alcohol can be considered structural isomers but these molecules cannot?,How does stereochemistry affect the properties of bromo-chloro-fluoro-methane?
Why is there so much more water on Earth than ammonia even though nitrogen is more abundant?,Why does nitrogen form a different number of bonds?
How to calculate the frequency of the fire?,How does elemental composition determine the frequency of emitted light?
How will the viscosity of liquid be affected by increase in temperature?,How does temperature affect a liquid's viscosity?
How will the viscosity of liquid be affected by increase in temperature?,How does intermolecular force relate to a liquid's viscosity?
What gives an electron a negative charge and what gives a proton a positive charge?,Why does a proton possess a positive electrical charge?
What gives an electron a negative charge and what gives a proton a positive charge?,Why does the electron have a constant intrinsic angular momentum?
Why do they always say 'atomic weight' on the periodic table?,How does isotope distribution affect measurements using weighted units?
Why do strong acid and bases give 100% ionization?,Why are the ions of strong acids/bases unreactive in solution?
what is the difference if atomic weight and atomic mass are not the same thing?,How does atomic mass relate to molar mass of elements?
Is surface tension responsible for the pain felt by a person?,How do hydrogen bonds impact water's perceived surface tension?
Is surface tension responsible for the pain felt by a person?,How does impact speed relate to water displacement force?
Why didn't only one drop leak out?,How does gravity overcome surface tension during liquid overflow?
What was happening molecularly to the surface of the water?,How does vibrational disturbance affect surface tension and molecule detachment?
How surface tension applies to the shape of water droplet?,How does surface tension affect a liquid's shape?
Why don't the oxygen atoms in the air bond to the water molecules on the surface and pull on water molecules?,How does water agitation affect oxygen absorption and release?
How does water evaporate?,How does water molecule kinetic energy affect evaporation rate?
What happens to the water at the bottom of the container?,Why does surface tension increase water density at the surface?
"Why does a paperclip that is able to sink below the surface, go down to the bottom?",Why does a paper clip sink despite surface tension?
How does the brain get the oxygen and glucose it needs?,How does sodium concentration affect glucose transport into brain endothelial cells?
Why is the brain included in central nervous system?,How does the central nervous system interpret peripheral nervous system signals?
Are the cranial nerves part of the CNS and the spinal nerves part of the PNS?,How do cranial nerves differ functionally from spinal nerves?
Why the sensory neurons in the ganglia have axons that carry impulses towards the soma instead of dendrites that carry impulses towards the soma?,How do dendrite structures differ between neuron types?
What does surface area have to do with how much energy it takes for these transfers to occur?,How does surface area impact nutrient diffusion within a cell?
How to know it is not there without fulfilling the octet rule?,Why must oxygen have two lone pairs in compounds?
How does oxygen get a triple bond with carbon?,How does oxygen's electron configuration affect its bonding behavior?
How does oxygen get a triple bond with carbon?,Why does CO exhibit a shorter triple bond length?
How would dogs and horses be listed?,How did the horse lineage diverge from other mammals?
How would dogs and horses be listed?,How does Equus ferus caballus differ from other Equus species?
How are they classified on the map?,Why do breeding populations sometimes defy species classification?
Are they consider a different species or a subspecies?,How does interbreeding affect subspecies classification and speciation?
Do we also breathe in the nitrogen in the atmosphere and do we take in this nitrogen?,How does nitrogen fixation convert N2 into usable forms?
Would air particles perform a tiny sonic boom?,Why does sonic boom formation require a medium?
Would air particles perform a tiny sonic boom?,How does compression velocity relate to sonic boom intensity?
Would air particles perform a tiny sonic boom?,Would a dense particle generate compression waves in air?
Would air particles perform a tiny sonic boom?,How does air particle speed relate to creating a sonic boom?
Does it have to consider the direction of the molecules or the absolute value?,How does direction influence velocity but not kinetic energy?
Why do things burn or explode?,How does molecular speed relate to spontaneous oxidation probability?
Why is the speed increasing while the temperature is constant?,How does temperature affect the distribution of molecular speeds?
After a while would the graph for the same system be different?,How does a graph's shape change with molecule speed?
Is there any specific reason mole was defined using the number of elemental entities of carbon-12?,Why was oxygen used before carbon-12 for studies?
How does the body know what to send down the esophagus and what to send down the trachea?,How does larynx elevation affect trachea opening during swallowing?
How does the body know what to send down the esophagus and what to send down the trachea?,How does the esophagus prevent food from entering the trachea?
Does some air leak or escape?,How does atmospheric composition affect respiratory system efficiency across species?
How efficient is this system?,How does respiratory system efficiency relate to system interdependence?
Does some air leak or escape?,How does the respiratory system maintain airtight connections between structures?
Does our body use the co2 produced by our body?,How does CO2 concentration affect urea/fatty acid/glucose synthesis rates?
Why do we need two lungs?,Why are lungs divided into smaller bronchioles and villi?
Why do we need two lungs?,Why are two small lungs more effective than one big lung?
What becomes of the oxygen that had not been used up?,Why does exhaled air contain unused oxygen molecules?
Does oxygen that had not been used up escape?,Why does the body exhale unused inhaled oxygen?
Are lungs controlled in a voluntary or involuntary manner?,Why does abdominal breathing allow for increased gas exchange in lungs?
Why do blood go to the heart if they need oxygen?,How does blood pressure affect oxygen diffusion in lungs?
Do blood get filled by the alveoli?,How does alveolar structure facilitate efficient gas exchange?
Why hasn't the body evolved so that 'solid' stuff doesn't travel from the nose to the stomach?,How effective are stomach acids at neutralizing inhaled pathogens?
Why hasn't the body evolved so that 'solid' stuff doesn't travel from the nose to the stomach?,How does mucus consistency change during illness or nasal cleaning?
How much time does the gasses presented in the blood getting exchanged by the alveoli takes?,How does tissue distance from the heart affect oxygen diffusion rate?
Why does the 4s orbital fill in general?,Why do exceptions to the Aufbau principle occur?
"How can cadmium, an element that is somewhere around the middle of the periodic table, have an oxidation state of +2?",Why does Cadmium tend to lose its valence electrons?
Are the anode rays only nuclei?,What determines the specific ions present in anode rays?
How will indicator help?,Why does the equivalence point pH vary between titrations?
Does the colour goes away?,Why does bromothymol blue's color plateau at high pH?
Does the colour goes away?,Why does bromthymol blue change color within that pH range?
Why doesn't a titration of HCL against Na2CO3 go to completion?,Why does phenolphthalein not detect the second equivalence point?
How can Osmosis be a form of Passive Transport?,How does solute concentration affect osmotic pressure across membranes?
Shouldn't Osmosis technically be classified as a form of active transport?,How does respiration provide energy for active transport processes?
Why would osmosis be a form of Passive Transport?,How does passive transport differ from active transport mechanisms?
How molecules move from areas of high concentration to low concentration?,Why does osmosis only involve the movement of water?
Shouldn't osmosis technically be classified as a form of active transport?,How does active transport move molecules against a concentration gradient?
Is osmosis also passive transport for water?,How does passive transport facilitate movement of water across membranes?
Did RNA exist before cells?,How does RNA catalyze reactions without protein enzymes initially?
How would that water continue through the water cycle?,How does transpiration rate affect atmospheric humidity levels?
Why are the electrons mapped out in such an orderly way?,How does Bohr's model simplify understanding atomic energy levels?
According to what definition?,Why does zinc's position cause its classification ambiguity as transition metal?
Is the theory called a law?,How do theories and laws differ in scientific validation?
Would that salt water need to be heated at a higher temperature before it began to evaporate?,How does atmospheric pressure influence temperature's effect on life?
How is salt in the water?,How does atmospheric salt deposition affect ocean salinity levels?
Why wouldn't the males be affected but the females would?,How do sex hormones regulate X-linked gene expression differently?
What do females get in terms of alleles/genetic traits that males don't?,How does one X chromosome affect males with X-linked diseases?
How is a ligament tear different from a sprain and why does it require surgery?,How does ligament damage initiate the inflammatory response cascade?
How is a ligament tear different from a sprain and why does it require surgery?,How does ligament stretching cause inflammation and subsequent joint pain?
Would the lungs be an Involuntary or Voluntary muscle?,How does skeletal muscle contraction change the thoracic cavity volume?
What type of muscle is responsible for breathing?,How does involuntary muscle contraction facilitate breathing and digestion?
When the muscle contracts what does it pull on to straighten the leg or to bring the lower leg up?,How does quadriceps contraction move the tibia towards the pelvis?
Does every polypeptide start with methionine as the first amino acid?,How does methionine oxidation affect protein structure and function?
Does Methionine go to E-site(exit) or does it remove after the polypeptides are formed?,How does MAP overexpression promote cancer cell survival?
Where does the tRNA go?,Why do tRNAs degrade after translation termination?
Where does the tRNA go?,How does tRNA recycling affect the rate of protein synthesis?
Does Ribosome exists first or Protein does?,How did ribosomes evolve to translate RNA into proteins?
Is the N-terminus or C-terminus formed first?,How does the N-terminus influence protein folding and function?
How does the RNA polymerase continue on with transcription?,How does repressor concentration affect tryptophan binding equilibrium?
Does the co-repressor unbind itself from the repressor?,How does repressor concentration affect gene transcription in a cell population?
What happen if the repressor stops functioning?,How does repressor protein mutation affect tryptophan enzyme transcription?
Can the strength of a base or acid be determined only by its starting pH?,How does acid concentration affect pH differently for strong/weak acids?
How do the molecules moving down their concentration gradient in a antiporter provide the energy for the others to move in the opposite direction?,How does sodium gradient energy drive antiporter molecule transport?
How is the Sodium-Potassium Pump NOT an anti porter?,How does secondary active transport differ from primary active transport?
How is the Sodium-Potassium Pump NOT an anti porter?,Why is sodium-potassium pump not considered an antiporter?
How is the Sodium-Potassium Pump NOT an anti porter?,How does sodium concentration affect the antiporter's shape change?
Do the symporters and antiporters use ATP?,How does the electrochemical gradient power antiporter function?
Is this use of renewable energy through passive transport down the concentration gradient that provides them with all of the energy needed for the exchange?,How is the electrochemical gradient established across different membranes?
Does the oxygen bonded with another oxygen don't count as another oxidation state?,How does oxygen's bonding to itself affect its oxidation state?
How to determine whether an oxide is superoxide or peroxide?,How does superoxide's unpaired electron affect its chemical reactivity?
How to work out what its oxidation number is?,Why does oxygen have variable but predictable oxidation states?
How to determine the oxidation state of oxygen?,Why do oxidation state rules fail for some chemicals?
What are the possible complications or consequences of a kidney infection?,Why do kidney infections increase future infection vulnerability?
What would the evolutionary advantage be for having a bladder instead of just peeing?,How does urine flow rate impact bacterial kidney infection risk?
Why do leave lot concentration of pure solids?,Why does a pure solid have an activity of one?
Should none of the water evaporate because the boiling point of water is 100 Celsius?,How does atmospheric pressure affect a liquid's boiling temperature?
How is water supposed to evaporate at 25 degrees Celsius?,How does increasing temperature affect the kinetic energy of molecules?
Will atom need to gain 4 electrons or lose 4 electrons to achieve an octet?,Why do atoms with four valence electrons favor covalent bonds?
Why does air exist continuously in gaseous form?,How does atmospheric pressure relate to intermolecular forces in gases?
Why do molecules of water which evaporate condense back again when the air can maintain it's KE ?,How does pressure affect the kinetic energy needed for gases?
Will the boiling point change?,How does atmospheric pressure affect the boiling point of liquids?
How will the boiling point change?,How does atmospheric pressure affect a liquid's boiling point?
What would happen? Would the vapor pressure increase?,How does increased temperature affect a substance's vapor pressure?
How does the entire bulk of a liquid kept in open air evaporate ?,How does latent heat affect the speed of liquid vaporization?
Does vaporization occur in an open system?,How does vaporisation prevent equilibrium in an open system?
"How to explain the boiling,say of water,in an open vessel?",How does heating affect the rate of liquid evaporation?
