reference,prediction
Why/how do electrons have enough charge to negate the effects of protons?,Why do protons and electrons have same charge?
Is allosteric inhibitor non-competitive or competitive?,Does the substrate still bond if the inhibitor is there?
Why does body make more lactose?,"Does the lactose itself make the enzymes, or what?"
Then why does entropy not mean messy?,"What does ""sum of all possible states"" even mean?"
How do viruses and bacteria get into a cell and corrupt them?,Do all viruses inject their DNA into cells?
Does allopatric speciation make subgroups or subspecies?,"Do subspecies eventually become different species altogether, then?"
Is reaction that oxygen reacts with carbon to create CO2 anabolic or catabolic?,Why does O2 have more energy than CO2?
Does gel electrophoresis work?,Why do we need PCR before gel electrophoresis?
Does that mean that ribosomes are actually in between the two phospholipid bilayers of the nuclear envelope?,"What does ""reversibly attached"" mean for the ribosomes?"
Don't both have hydrogen bonding?,Does hydrogen bonding make molecules stick together more?
What does surface area have to do with how much energy it takes for these transfers to occur?,Why does the surface area to volume ratio matter?
"How can cadmium, an element that is somewhere around the middle of the periodic table, have an oxidation state of +2?",Why does Cadmium want to lose its electrons?
How would oxygen share the electrons with the two hydrogens?,Why does oxygen have a slight negative charge?
"Why not just losing a Hydrogen on the ring itself, as it can be resonance stabilized in the exact same way?",Why does removing ring hydrogen need more energy?
How come an increase in temperature increases this combination of states?,Why does temperature affect the number of micro-states?
Could anything react with anything?,"So, why don't all chemicals just react with each other?"
Why does flagella is not an organelle?,Does the flagella help bacteria get rid of waste?
Why assuming that if two electrons are in the same orbital they will be next to each other?,Does that mean electrons are everywhere in the orbital?
Does the molecule still remains chiral?,Does chiral mean a molecule's mirror image is different?
How to determine the oxidation state of oxygen?,Why do we need oxidation states if they're just rules?
Will it work until all reactants are turned into products?,"If the reaction doesn't finish, does the catalyst do nothing?"
Where does evolution occur in nature?,How does natural selection cause one species to change?
Do the atoms share the electrons (and therefore form a bond)?,Don't all atoms want to share electrons to be stable?
How the germ cell can go through mitosis?,Why do germ cells need mitosis to expand?
Does the Cl conjugate base hang out by itself?,Why don't the water molecules bond to the Cl-?
What makes the carbon dioxide go into the alveoli and the oxygen go into the capillary?,Why does the CO2 go into the alveoli?
Is neutron only the proton which gets kicked out?,"Don't neutrons usually escape as alpha particles, not alone?"
Someone pl meiosis and mitosis with respect to X chromosome?,Do sister chromatids and homologous chromosomes end up in gametes?
What is that extra H+ doing there on the head of water?,Why does one H+ have to stay with carbon?
"Do cells 'hunt' for bacterium, or it's an occasion?","Do the cytokines pull the immune cells, like, physically?"
Could diatomic hydrogen also be formed by an ionic bond?,Why does electronegativity stop hydrogen atoms from bonding?
Why does a positive kJ result end up with energy leaving a system?,"So, does positive thetaHf mean the reaction needs energy?"
How can the oxygen being oxidised?,"Don't oxygen atoms need to gain electrons, not lose them?"
Would the entire ecosystem collapse?,"What makes an organism ""crucial"" to the ecosystem?"
Why the HIV virus is coming out of the immune cell?,Why does HIV only target the immune cells?
"Human evolve from apes, so if one mated with a human?","So, does that mean apes could become humans again?"
Why doesn't carbon form any ionic bond?,Why is it unfavorable for carbon to gain or lose electrons?
"Didn't the H+ get randomly picked up by the OH and then later the OH group attached to Carbon gave up its hydrogen to H2O, making it H3O+?","So, why do H+ ions always become hydronium?"
Does the Calvin cycle happen after the light-dependent reactions occurs or is the Calvin cycle independent?,What kind of energy do the thylakoids need to reenergize?
How do the contracting and expanding muscles gets oxygen?,How does the heart get oxygen if it's cells?
Does the body extract the oxygen from the carbon dioxide?,Why is there way more oxygen than carbon dioxide?
Does the oxygen bonded with another oxygen don't count as another oxidation state?,"Why doesn't the O-O bond count at all, though?"
Why are hydrogen bonds called weak bonds?,"What does ""regional polarization"" actually mean for hydrogen?"
Doesn't that violate Markovnikov's rule that the more substituted C will bond with the more substituted reactant?,Why does the positive part add to more hydrogens?
How would oxygen share the electrons with the two hydrogens?,Why does the oxygen atom have a negative charge?
"Does the electron go into an energy level 1/100000 higher, or where does the extra energy go?",Do electrons have to be still for exact energy levels?
Why would osmosis be a form of Passive Transport?,"Why does osmosis only move water, not other stuff?"
How is water supposed to evaporate at 25 degrees Celsius?,Why does hotter temperature make things turn into gas?
Whats causes a molecule to have potential energy?,"So, does potential energy just disappear in gases?"
"Why does a paperclip that is able to sink below the surface, go down to the bottom?",Why does the paper clip sink if water is less dense?
Does anaerobic respiration contribute to metabolic rate?,Why does anaerobic respiration cause lactic acid build-up?
How would people know if it is redox or a regular one?,Do redox reactions always have unbalanced charges?
Does the co-repressor unbind itself from the repressor?,Does the repressor stop working completely without tryptophan?
Is it possible for the inhibitor to later separate or unbind?,Does reversible binding mean the inhibitor can unbind later?
How the exact length of DNA molecules can be determined when it is moving?,Why does the voltage need to be stopped later?
Is a non spontaneous reaction always a reverse reaction?,Does a negative dG always mean the reaction happens?
How carbohydrates fit into the fluid mosaic molecule and what do they look like?,"What does ""cell's fingerprint"" really mean by glycocalyx?"
What happens to the water at the bottom of the container?,Why is the water at the bottom less dense?
What stop the salt bridge from itself building up charge?,Do the ions need to be the same on both sides?
Do the proteins have a chance of going into the cell?,Why don't the proteins just leave the cell membrane?
How does the rock effect the community?,Does this have anything to do with rock music?
"Does that mean that oxygen is the oxidation agent, and hydrogen would be the reduction agent?",Does the oxidising agent get reduced in the reaction?
Don't they also have to travel through the same capillaries?,"So, do leukocytes go *around* the capillaries then?"
How to identify nucleophiles or electrophiles?,Why does less electronegative atom become electrophile?
Are the anode rays only nuclei?,"So, what's an ionized gas and where does it come from?"
Don't a voltage source and a current source both supply a current and voltage in a circuit?,Do voltage sources always try to keep voltage constant?
How do ketones have a stronger dipole moment than aldehydes?,Why don't aldehydes have alkyl groups like ketones do?
"How does oxygen get dissolved in water,which supports marine life?","So, why doesn't the oxygen react with the water?"
How plants respond to nature?,Does heat from light even matter to plants at all?
Why is habituation considered as a learned behavior?,"So, what part of imprinting is actually learned then?"
What happen if the repressor stops functioning?,"So, if the repressor is nonfunctional, then what happens exactly?"
Why is it that animal-based foods are more energy dense than the plants we eat?,Why does energy density go up but total energy down?
"How does the hydrogen bond in it conform to their definition of van dear Waals forces, which don't involve covalent bonds?",Why is the O-H bond not a hydrogen bond?
Will electrons always start with same number of protons?,Why do protons and electrons have the same amount of charge?
And why do we need Plasmid?,"Why do bacteria need plasmids, if they have nucleoids?"
How does caring if it`s a polar or non-polar covalent bond help us?,"Why does ""like dissolves like"" actually work, though?"
Is the bacterias native plasmid kicked out or do they become neighbors?,Why do we need vectors to put DNA into hosts?
Would we divide the electrons equally between same atoms?,Why do we assign electrons to the more electronegative atom?
