reference,prediction
Why/how do electrons have enough charge to negate the effects of protons?,Why do protons balance out electrons in an atom?
Is allosteric inhibitor non-competitive or competitive?,How does binding somewhere else stop the reaction?
Why does body make more lactose?,Why do we need enzymes when lactose is present?
Then why does entropy not mean messy?,How is 'sum of all possible states' different from disorder?
How do viruses and bacteria get into a cell and corrupt them?,How do enveloped viruses get inside the cell completely?
Does allopatric speciation make subgroups or subspecies?,How are subspecies still the same species?
Is reaction that oxygen reacts with carbon to create CO2 anabolic or catabolic?,Why does O2 have more energy than CO2?
Does gel electrophoresis work?,Why do we need many DNA copies for gel electrophoresis?
Does that mean that ribosomes are actually in between the two phospholipid bilayers of the nuclear envelope?,How does the signal sequence direct the complex to the ER?
Don't both have hydrogen bonding?,Why do both propan-1-ol and propan-2-ol have hydrogen bonding?
What does surface area have to do with how much energy it takes for these transfers to occur?,Why does smaller SA:V make diffusion harder?
"How can cadmium, an element that is somewhere around the middle of the periodic table, have an oxidation state of +2?",Why does losing electrons make Cadmium stable?
How would oxygen share the electrons with the two hydrogens?,Why isn't the oxygen atom sharing electrons?
"Why not just losing a Hydrogen on the ring itself, as it can be resonance stabilized in the exact same way?",Why does removing ring hydrogen destroy aromaticity?
How come an increase in temperature increases this combination of states?,How does temperature increase the number of micro-states?
Could anything react with anything?,How can it react without energy if temperature is needed?
Why does flagella is not an organelle?,Why is flagella called an organ in bacteria?
Why assuming that if two electrons are in the same orbital they will be next to each other?,How can an electron be everywhere in an orbital?
Does the molecule still remains chiral?,Why is it the same molecule if it's rotated?
How to determine the oxidation state of oxygen?,"Why does hydrogen have a different state in hydrides?""?"
Will it work until all reactants are turned into products?,Why aren't catalysts considered reagents if they're in reactions?
Where does evolution occur in nature?,How does natural selection cause evolution?
Do the atoms share the electrons (and therefore form a bond)?,Do electrons really get stolen or just really unevenly shared?
How the germ cell can go through mitosis?,Why do germ cells expand using mitosis?
Does the Cl conjugate base hang out by itself?,Why don't water molecules bond with Cl- like H+?
What makes the carbon dioxide go into the alveoli and the oxygen go into the capillary?,Why does CO2 go from blood to alveoli?
Is neutron only the proton which gets kicked out?,"So, does a neutron always escape as alpha radiation?"
Someone pl meiosis and mitosis with respect to X chromosome?,Why do gametes only get one sex chromosome?
What is that extra H+ doing there on the head of water?,Why does H+ stay within C to make a bond?
"Do cells 'hunt' for bacterium, or it's an occasion?",How do immune cells find bacteria without eyes?
Could diatomic hydrogen also be formed by an ionic bond?,Why do atoms need different electronegativity for ionic bonds?
Why does a positive kJ result end up with energy leaving a system?,Why does positive delta Hf mean energy is required for bonding?
How can the oxygen being oxidised?,Why does oxygen lose electrons to satisfy octet rule?
Would the entire ecosystem collapse?,What exactly happens when an ecosystem collapses?
Why the HIV virus is coming out of the immune cell?,Why does HIV only target immune cells?
"Human evolve from apes, so if one mated with a human?","So are humans really apes, or did we just share ancestors?""?"
Why doesn't carbon form any ionic bond?,Why is it unfavorable for carbon to form ionic bonds?
"Didn't the H+ get randomly picked up by the OH and then later the OH group attached to Carbon gave up its hydrogen to H2O, making it H3O+?",How can hydronium ions remain if they get neutralized?
Does the Calvin cycle happen after the light-dependent reactions occurs or is the Calvin cycle independent?,How do light reactions depend on the Calvin cycle?
How do the contracting and expanding muscles gets oxygen?,How does the heart get oxygen to the body?
Does the body extract the oxygen from the carbon dioxide?,Why is there more oxygen than carbon dioxide?
Does the oxygen bonded with another oxygen don't count as another oxidation state?,"Why is oxygen -1 in peroxide, but usually -2?"
Why are hydrogen bonds called weak bonds?,Why do hydrogen bonds not take much energy to break?
Doesn't that violate Markovnikov's rule that the more substituted C will bond with the more substituted reactant?,Why does the positive part go to more hydrogens?
How would oxygen share the electrons with the two hydrogens?,Why isn't the oxygen atom sharing electrons?
